Indicator,  Merchandise exports by product group – annual (Million US dollar),,,,,,,
,,,,,,,,
Reporting Economy,Product/Sector,Partner Economy,2015,2016,2017,2018,2019,2020
World,SI3_AGG - TO - Total merchandise,World,16560762,16046277,17746583,19559050,19019026,17618935
World,SI3_AGG - AG - Agricultural products,World,1564085,1584129,1725209,1804030,1779888,1803125
World,SI3_AGG - AGFO - Food,World,1331133,1355836,1468845,1530116,1526959,1568080
World,SI3_AGG - MI - Fuels and mining products,World,2380516,2037338,2615144,3270231,3087959,2325713
World,SI3_AGG - MIFU - Fuels,World,1808607,1495824,1949140,2530201,2364889,1572747
World,SI3_AGG - MA - Manufactures,World,11226675,11030438,12006380,13009950,12749954,12130889
World,SI3_AGG - MAIS - Iron and steel,World,378917,343627,415641,470243,420092,365499
World,SI3_AGG - MACH - Chemicals,World,1843758,1818909,1990577,2241488,2198198,2204669
World,SI3_AGG - MACHPH - Pharmaceuticals,World,531281,538015,566712,635738,669828,733901
World,SI3_AGG - MAMT - Machinery and transport equipment,World,5678015,5614033,6161750,6631018,6488483,6146368
World,SI3_AGG - MAMTOF - Office and telecom equipment,World,1731542,1681658,1911308,2075104,2026553,2120806
World,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,498839,470093,624025,698577,670201,695129
World,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,705774,685130,644191,658156,641156,638065
World,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,526929,526434,643092,718372,715196,787612
World,SI3_AGG - MAMTTE - Transport equipment,World,2019727,2020166,2150704,2240225,2185122,1835839
World,SI3_AGG - MAMTAU - Automotive products,World,1334211,1366689,1466088,1544315,1506531,1271470
World,SI3_AGG - MATE - Textiles,World,288510,281156,295108,312211,305484,328114
World,SI3_AGG - MACL - Clothing,World,453391,445015,465272,494388,494254,448961
Afghanistan,SI3_AGG - TO - Total merchandise,World,571,596,723,875,864,732
Afghanistan,SI3_AGG - AG - Agricultural products,World,361,437,637,725,730,655
Afghanistan,SI3_AGG - AGFO - Food,World,277,339,495,579,548,500
Afghanistan,SI3_AGG - MI - Fuels and mining products,World,26,7,51,100,89,48
Afghanistan,SI3_AGG - MIFU - Fuels,World,20,,44,89,70,26
Afghanistan,SI3_AGG - MA - Manufactures,World,91,39,34,34,44,26
Afghanistan,SI3_AGG - MAIS - Iron and steel,World,,,,,0,0
Afghanistan,SI3_AGG - MACH - Chemicals,World,0,,1,0,1,1
Afghanistan,SI3_AGG - MACHPH - Pharmaceuticals,World,,,,,0,0
Afghanistan,SI3_AGG - MAMT - Machinery and transport equipment,World,,,0,4,1,8
Afghanistan,SI3_AGG - MAMTOF - Office and telecom equipment,World,,,,0,0,1
Afghanistan,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,,,,,0,0
Afghanistan,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,,,,0,0,1
Afghanistan,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,,,,,0,0
Afghanistan,SI3_AGG - MAMTTE - Transport equipment,World,,,,2,1,1
Afghanistan,SI3_AGG - MAMTAU - Automotive products,World,,,,2,1,0
Afghanistan,SI3_AGG - MATE - Textiles,World,90,39,25,23,30,9
Afghanistan,SI3_AGG - MACL - Clothing,World,,,0,0,0,0
Africa,SI3_AGG - TO - Total merchandise,World,397667,363879,434666,509726,478649,386332
"African, Caribbean and Pacific States (ACP)",SI3_AGG - TO - Total merchandise,World,334304,299169,356007,410473,386135,326136
"Africa, CIS and Middle East",SI3_AGG - TO - Total merchandise,World,1748852,1563492,1848092,2273324,2113769,1630657
Albania,SI3_AGG - TO - Total merchandise,World,1917,1959,2292,2870,2716,2506
Albania,SI3_AGG - AG - Agricultural products,World,183,218,274,317,338,374
Albania,SI3_AGG - AGFO - Food,World,133,169,222,258,277,306
Albania,SI3_AGG - MI - Fuels and mining products,World,505,398,390,551,473,377
Albania,SI3_AGG - MIFU - Fuels,World,347,221,196,383,301,207
Albania,SI3_AGG - MA - Manufactures,World,1224,1339,1626,1999,1902,1750
Albania,SI3_AGG - MAIS - Iron and steel,World,146,118,188,296,231,198
Albania,SI3_AGG - MACH - Chemicals,World,23,25,28,42,49,48
Albania,SI3_AGG - MACHPH - Pharmaceuticals,World,4,5,3,3,4,4
Albania,SI3_AGG - MAMT - Machinery and transport equipment,World,85,91,128,166,190,206
Albania,SI3_AGG - MAMTOF - Office and telecom equipment,World,18,7,11,14,14,16
Albania,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,3,4,4,2,2,3
Albania,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,16,3,7,9,7,11
Albania,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,0,0,0,2,5,2
Albania,SI3_AGG - MAMTTE - Transport equipment,World,12,17,21,21,26,37
Albania,SI3_AGG - MAMTAU - Automotive products,World,11,15,19,14,20,30
Albania,SI3_AGG - MATE - Textiles,World,12,15,21,26,30,42
Albania,SI3_AGG - MACL - Clothing,World,358,428,493,565,537,490
Algeria,SI3_AGG - TO - Total merchandise,World,34668,30026,35191,41797,35824,21617
Algeria,SI3_AGG - AG - Agricultural products,World,247,341,370,278,305,376
Algeria,SI3_AGG - AGFO - Food,World,237,331,352,258,286,361
Algeria,SI3_AGG - MI - Fuels and mining products,World,33326,28661,33881,39603,33678,19601
Algeria,SI3_AGG - MIFU - Fuels,World,33218,28586,33823,39481,33551,19516
Algeria,SI3_AGG - MA - Manufactures,World,1093,990,940,1858,1780,1630
Algeria,SI3_AGG - MAIS - Iron and steel,World,5,0,10,55,123,55
Algeria,SI3_AGG - MACH - Chemicals,World,1020,887,777,1541,1409,1331
Algeria,SI3_AGG - MACHPH - Pharmaceuticals,World,2,6,5,6,4,2
Algeria,SI3_AGG - MAMT - Machinery and transport equipment,World,18,54,81,159,105,99
Algeria,SI3_AGG - MAMTOF - Office and telecom equipment,World,1,6,13,11,14,6
Algeria,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,0,0,1,1,0,0
Algeria,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,0,5,8,10,13,5
Algeria,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,0,2,4,0,1,0
Algeria,SI3_AGG - MAMTTE - Transport equipment,World,11,2,21,21,21,37
Algeria,SI3_AGG - MAMTAU - Automotive products,World,0,0,0,7,5,6
Algeria,SI3_AGG - MATE - Textiles,World,1,1,1,3,7,19
Algeria,SI3_AGG - MACL - Clothing,World,0,0,0,0,0,4
American Samoa,SI3_AGG - TO - Total merchandise,World,379,388,397,513,437,491
Andean Community (ANDEAN),SI3_AGG - TO - Total merchandise,World,97162,92718,109287,121435,118265,100660
Andorra,SI3_AGG - TO - Total merchandise,World,90,97,118,129,126,117
Angola,SI3_AGG - TO - Total merchandise,World,33181,27589,34613,40758,34726,20937
Angola,SI3_AGG - AG - Agricultural products,World,118,235,239,288,132,62
Angola,SI3_AGG - AGFO - Food,World,107,170,147,143,112,52
Angola,SI3_AGG - MI - Fuels and mining products,World,32250,26574,33909,38769,34298,20442
Angola,SI3_AGG - MIFU - Fuels,World,31150,25580,32761,37565,33068,20361
Angola,SI3_AGG - MA - Manufactures,World,809,779,465,1699,295,428
Angola,SI3_AGG - MAIS - Iron and steel,World,25,50,28,22,18,5
Angola,SI3_AGG - MACH - Chemicals,World,7,15,19,17,13,1
Angola,SI3_AGG - MACHPH - Pharmaceuticals,World,0,0,0,0,0,0
Angola,SI3_AGG - MAMT - Machinery and transport equipment,World,585,455,270,1550,183,18
Angola,SI3_AGG - MAMTOF - Office and telecom equipment,World,9,8,7,6,3,1
Angola,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,3,3,2,2,1,0
Angola,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,5,5,4,3,1,1
Angola,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,1,0,1,1,0,0
Angola,SI3_AGG - MAMTTE - Transport equipment,World,284,154,35,1364,48,5
Angola,SI3_AGG - MAMTAU - Automotive products,World,11,23,13,6,10,1
Angola,SI3_AGG - MATE - Textiles,World,1,2,2,1,1,0
Angola,SI3_AGG - MACL - Clothing,World,1,1,0,0,0,0
Anguilla,SI3_AGG - TO - Total merchandise,World,11,7,11,12,12,11
Antigua and Barbuda,SI3_AGG - TO - Total merchandise,World,66,61,21,26,38,22
Antigua and Barbuda,SI3_AGG - AG - Agricultural products,World,2,1,5,6,5,2
Antigua and Barbuda,SI3_AGG - AGFO - Food,World,1,1,5,6,5,2
Antigua and Barbuda,SI3_AGG - MI - Fuels and mining products,World,1,1,0,1,4,4
Antigua and Barbuda,SI3_AGG - MIFU - Fuels,World,0,1,0,1,4,4
Antigua and Barbuda,SI3_AGG - MA - Manufactures,World,24,59,15,10,8,6
Antigua and Barbuda,SI3_AGG - MAIS - Iron and steel,World,1,0,1,1,0,0
Antigua and Barbuda,SI3_AGG - MACH - Chemicals,World,0,0,1,0,0,0
Antigua and Barbuda,SI3_AGG - MACHPH - Pharmaceuticals,World,0,0,0,0,0,0
Antigua and Barbuda,SI3_AGG - MAMT - Machinery and transport equipment,World,9,42,4,2,2,2
Antigua and Barbuda,SI3_AGG - MAMTOF - Office and telecom equipment,World,3,0,1,0,0,0
Antigua and Barbuda,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,0,0,0,0,0,0
Antigua and Barbuda,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,3,0,0,0,0,0
Antigua and Barbuda,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,0,0,0,0,0,0
Antigua and Barbuda,SI3_AGG - MAMTTE - Transport equipment,World,4,39,7,1,1,1
Antigua and Barbuda,SI3_AGG - MAMTAU - Automotive products,World,1,1,1,1,1,1
Antigua and Barbuda,SI3_AGG - MATE - Textiles,World,7,11,1,0,0,0
Antigua and Barbuda,SI3_AGG - MACL - Clothing,World,1,1,1,2,1,1
Argentina,SI3_AGG - TO - Total merchandise,World,56784,57910,58644,61781,65116,54884
Argentina,SI3_AGG - AG - Agricultural products,World,34597,36995,35574,34341,38999,36093
Argentina,SI3_AGG - AGFO - Food,World,34036,36379,34928,33520,38265,35612
Argentina,SI3_AGG - MI - Fuels and mining products,World,3003,3306,3489,2829,2629,1590
Argentina,SI3_AGG - MIFU - Fuels,World,1442,1445,1626,2536,2343,1470
Argentina,SI3_AGG - MA - Manufactures,World,15980,14831,16148,11988,10788,7923
Argentina,SI3_AGG - MAIS - Iron and steel,World,554,414,634,48,54,37
Argentina,SI3_AGG - MACH - Chemicals,World,5291,5616,5501,4284,3549,3097
Argentina,SI3_AGG - MACHPH - Pharmaceuticals,World,1139,1029,889,722,721,708
Argentina,SI3_AGG - MAMT - Machinery and transport equipment,World,7660,6633,7698,5796,5302,3558
Argentina,SI3_AGG - MAMTOF - Office and telecom equipment,World,67,53,68,39,47,38
Argentina,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,27,15,16,16,13,7
Argentina,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,37,35,49,22,29,27
Argentina,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,4,2,3,2,5,4
Argentina,SI3_AGG - MAMTTE - Transport equipment,World,6590,5662,6709,5142,4630,3027
Argentina,SI3_AGG - MAMTAU - Automotive products,World,6114,5174,5950,4987,4451,2918
Argentina,SI3_AGG - MATE - Textiles,World,134,112,114,105,99,64
Argentina,SI3_AGG - MACL - Clothing,World,65,38,39,27,30,21
Armenia,SI3_AGG - TO - Total merchandise,World,1485,1792,2245,2412,2640,2544
Armenia,SI3_AGG - AG - Agricultural products,World,390,517,625,670,776,748
Armenia,SI3_AGG - AGFO - Food,World,380,508,614,660,768,740
Armenia,SI3_AGG - MI - Fuels and mining products,World,631,631,863,819,938,954
Armenia,SI3_AGG - MIFU - Fuels,World,92,61,72,81,69,74
Armenia,SI3_AGG - MA - Manufactures,World,349,501,505,710,674,562
Armenia,SI3_AGG - MAIS - Iron and steel,World,57,66,85,127,143,102
Armenia,SI3_AGG - MACH - Chemicals,World,22,26,37,36,37,39
Armenia,SI3_AGG - MACHPH - Pharmaceuticals,World,11,15,22,21,23,18
Armenia,SI3_AGG - MAMT - Machinery and transport equipment,World,26,41,52,68,81,59
Armenia,SI3_AGG - MAMTOF - Office and telecom equipment,World,2,3,7,9,11,13
Armenia,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,1,1,1,5,4,4
Armenia,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,1,2,3,3,2,6
Armenia,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,0,1,4,2,5,3
Armenia,SI3_AGG - MAMTTE - Transport equipment,World,10,14,14,27,30,17
Armenia,SI3_AGG - MAMTAU - Automotive products,World,8,13,13,22,23,15
Armenia,SI3_AGG - MATE - Textiles,World,14,4,3,14,3,4
Armenia,SI3_AGG - MACL - Clothing,World,71,93,127,217,170,131
"Aruba, the Netherlands with respect to",SI3_AGG - TO - Total merchandise,World,330,284,135,194,131,98
"Aruba, the Netherlands with respect to",SI3_AGG - AG - Agricultural products,World,47,48,39,29,37,33
"Aruba, the Netherlands with respect to",SI3_AGG - AGFO - Food,World,47,48,39,29,36,33
"Aruba, the Netherlands with respect to",SI3_AGG - MI - Fuels and mining products,World,253,187,60,130,54,33
"Aruba, the Netherlands with respect to",SI3_AGG - MIFU - Fuels,World,249,186,45,125,50,30
"Aruba, the Netherlands with respect to",SI3_AGG - MA - Manufactures,World,25,31,31,31,38,26
"Aruba, the Netherlands with respect to",SI3_AGG - MAIS - Iron and steel,World,0,0,0,0,0,0
"Aruba, the Netherlands with respect to",SI3_AGG - MACH - Chemicals,World,6,4,6,6,8,5
