Reporting Economy,Product/Sector,Partner Economy,a2015,a2016,a2017,a2018,a2019,a2020,
Albania,MT2 - 01 - Animal products,World,94582547,75255359,92433609,94651457,,,
Albania,MT2 - 01 - Animal products,Argentina,11079,35517,3929,,,,
Albania,MT2 - 01 - Animal products,Australia,,46046,103453,,,,
Albania,MT2 - 01 - Animal products,Austria,612356,695913,851641,,,,
Albania,MT2 - 01 - Animal products,Azerbaijan,,,52757,,,,
Albania,MT2 - 01 - Animal products,Belgium,911049,1122955,1058501,,,,
Albania,MT2 - 01 - Animal products,Bosnia and Herzegovina,285764,469466,351120,,,,
Albania,MT2 - 01 - Animal products,Brazil,13579418,16340540,16700624,,,,
Albania,MT2 - 01 - Animal products,Bulgaria,9761,1209789,3507091,,,,
Albania,MT2 - 01 - Animal products,Canada,4420639,998629,3513513,,,,
Albania,MT2 - 01 - Animal products,China,,45,,,,,
Albania,MT2 - 01 - Animal products,Comoros,1250,,,,,,
Albania,MT2 - 01 - Animal products,Côte d'Ivoire,254,,,,,,
Albania,MT2 - 01 - Animal products,Croatia,450702,202683,95593,,,,
Albania,MT2 - 01 - Animal products,Cyprus,81255,15668,61510,,,,
Albania,MT2 - 01 - Animal products,Czech Republic,,7851,5725,,,,
Albania,MT2 - 01 - Animal products,Denmark,32335,18553,2766313,,,,
Albania,MT2 - 01 - Animal products,Ecuador,230276,62066,221621,,,,
Albania,MT2 - 01 - Animal products,El Salvador,,72818,,,,,
Albania,MT2 - 01 - Animal products,Finland,,12488,,,,,
Albania,MT2 - 01 - Animal products,France,681669,302890,302803,,,,
Albania,MT2 - 01 - Animal products,Germany,4524752,2338262,2642271,,,,
Albania,MT2 - 01 - Animal products,Greece,19432314,16450979,17162122,,,,
Albania,MT2 - 01 - Animal products,Guinea,,2784,,,,,
Albania,MT2 - 01 - Animal products,Hungary,3788859,2513326,3853244,,,,
Albania,MT2 - 01 - Animal products,India,,,1420,,,,
Albania,MT2 - 01 - Animal products,Indonesia,,,150098,,,,
Albania,MT2 - 01 - Animal products,Ireland,1020695,271026,915429,,,,
Albania,MT2 - 01 - Animal products,Israel,47429,,,,,,
Albania,MT2 - 01 - Animal products,Italy,17534770,11927739,12804594,,,,
Albania,MT2 - 01 - Animal products,Japan,,4120,7989,,,,
Albania,MT2 - 01 - Animal products,Latvia,,,2042,,,,
Albania,MT2 - 01 - Animal products,Lebanese Republic,,,61437,,,,
Albania,MT2 - 01 - Animal products,Lithuania,16002,,6664,,,,
Albania,MT2 - 01 - Animal products,Mauritius,6244,17899,29500,,,,
Albania,MT2 - 01 - Animal products,Netherlands,858156,2045941,2383673,,,,
Albania,MT2 - 01 - Animal products,New Zealand,57840,186059,,,,,
Albania,MT2 - 01 - Animal products,North Macedonia,2313959,483777,2522709,,,,
Albania,MT2 - 01 - Animal products,Norway,33671,25839,498753,,,,
Albania,MT2 - 01 - Animal products,Pakistan,5832,,,,,,
Albania,MT2 - 01 - Animal products,Paraguay,869552,319074,239016,,,,
Albania,MT2 - 01 - Animal products,Peru,,1645,,,,,
Albania,MT2 - 01 - Animal products,Philippines,57238,,,,,,
Albania,MT2 - 01 - Animal products,Poland,2786641,2505283,2964630,,,,
Albania,MT2 - 01 - Animal products,Portugal,63523,43211,,,,,
Albania,MT2 - 01 - Animal products,Romania,4968996,3892690,4016550,,,,
Albania,MT2 - 01 - Animal products,"Saudi Arabia, Kingdom of",,1723,,,,,
Albania,MT2 - 01 - Animal products,Serbia,163632,201331,,,,,
Albania,MT2 - 01 - Animal products,Seychelles,1477,,,,,,
Albania,MT2 - 01 - Animal products,Slovak Republic,29704,32,208,,,,
Albania,MT2 - 01 - Animal products,Slovenia,411857,411047,448869,,,,
Albania,MT2 - 01 - Animal products,Spain,1572959,1076271,926197,,,,
Albania,MT2 - 01 - Animal products,Sweden,393906,158685,,,,,
Albania,MT2 - 01 - Animal products,Switzerland,34629,,260228,,,,
Albania,MT2 - 01 - Animal products,Thailand,145,,,,,,
Albania,MT2 - 01 - Animal products,Tunisia,,,1819657,,,,
Albania,MT2 - 01 - Animal products,Turkey,775756,986740,1346197,,,,
Albania,MT2 - 01 - Animal products,Ukraine,,196475,46464,,,,
Albania,MT2 - 01 - Animal products,United Arab Emirates,39314,,,,,,
Albania,MT2 - 01 - Animal products,United Kingdom,88289,165337,925036,,,,
Albania,MT2 - 01 - Animal products,United States of America,10772487,6724715,5754398,,,,
Albania,MT2 - 01 - Animal products,Uruguay,123330,123780,151072,,,,
Albania,MT2 - 01 - Animal products,Viet Nam,6883,,142573,,,,
Albania,MT2 - 02 - Dairy products,World,21316659,23741335,25203722,29878768,,,
Albania,MT2 - 02 - Dairy products,Austria,767572,1070209,1117265,,,,
Albania,MT2 - 02 - Dairy products,Belgium,199569,327524,309542,,,,
Albania,MT2 - 02 - Dairy products,Bosnia and Herzegovina,966415,707179,737759,,,,
Albania,MT2 - 02 - Dairy products,Brazil,,5704,8157,,,,
Albania,MT2 - 02 - Dairy products,Bulgaria,4524,28581,32344,,,,
Albania,MT2 - 02 - Dairy products,Canada,190,,,,,,
Albania,MT2 - 02 - Dairy products,China,,,491207,,,,
Albania,MT2 - 02 - Dairy products,Croatia,174236,171565,309716,,,,
Albania,MT2 - 02 - Dairy products,Cyprus,,,161,,,,
Albania,MT2 - 02 - Dairy products,Czech Republic,37742,31014,11986,,,,
Albania,MT2 - 02 - Dairy products,Denmark,52706,140854,207611,,,,
Albania,MT2 - 02 - Dairy products,Estonia,,3736,,,,,
Albania,MT2 - 02 - Dairy products,France,170720,236045,142825,,,,
Albania,MT2 - 02 - Dairy products,Germany,4906065,5506946,5864627,,,,
Albania,MT2 - 02 - Dairy products,Greece,1010344,1097761,604983,,,,
Albania,MT2 - 02 - Dairy products,Hungary,230782,439177,455256,,,,
Albania,MT2 - 02 - Dairy products,Iran,,6282,,,,,
Albania,MT2 - 02 - Dairy products,Ireland,101220,19570,118558,,,,
Albania,MT2 - 02 - Dairy products,Italy,7575907,8257371,8818081,,,,
Albania,MT2 - 02 - Dairy products,Japan,,1379,547,,,,
Albania,MT2 - 02 - Dairy products,"Kuwait, the State of",,,589,,,,
Albania,MT2 - 02 - Dairy products,Lithuania,165667,158626,245410,,,,
Albania,MT2 - 02 - Dairy products,Madagascar,,,643,,,,
Albania,MT2 - 02 - Dairy products,Malaysia,,,15587,,,,
Albania,MT2 - 02 - Dairy products,Netherlands,1008422,1186503,879099,,,,
Albania,MT2 - 02 - Dairy products,New Zealand,76,2800,2068,,,,
Albania,MT2 - 02 - Dairy products,Nicaragua,563,,,,,,
Albania,MT2 - 02 - Dairy products,Nigeria,,,531,,,,
Albania,MT2 - 02 - Dairy products,North Macedonia,569788,617975,733891,,,,
Albania,MT2 - 02 - Dairy products,Norway,,,5971,,,,
Albania,MT2 - 02 - Dairy products,Pakistan,1334,603,,,,,
Albania,MT2 - 02 - Dairy products,Poland,334651,229282,218598,,,,
Albania,MT2 - 02 - Dairy products,Portugal,2338,69759,36800,,,,
Albania,MT2 - 02 - Dairy products,Romania,763093,837151,805369,,,,
Albania,MT2 - 02 - Dairy products,"Saudi Arabia, Kingdom of",4502,,,,,,
Albania,MT2 - 02 - Dairy products,Serbia,559210,688272,811669,,,,
Albania,MT2 - 02 - Dairy products,Slovak Republic,33107,13969,,,,,
Albania,MT2 - 02 - Dairy products,Slovenia,128220,363915,428088,,,,
Albania,MT2 - 02 - Dairy products,Spain,452500,369813,627392,,,,
Albania,MT2 - 02 - Dairy products,Sri Lanka,352,,,,,,
Albania,MT2 - 02 - Dairy products,Sweden,66524,56660,58181,,,,
Albania,MT2 - 02 - Dairy products,Switzerland,22121,1772,398,,,,
Albania,MT2 - 02 - Dairy products,Syrian Arab Republic,,,398,,,,
Albania,MT2 - 02 - Dairy products,Thailand,100,889,,,,,
Albania,MT2 - 02 - Dairy products,Turkey,208515,119724,130108,,,,
Albania,MT2 - 02 - Dairy products,Ukraine,198119,372824,370409,,,,
Albania,MT2 - 02 - Dairy products,United Arab Emirates,1260,1281,1136,,,,
Albania,MT2 - 02 - Dairy products,United Kingdom,66799,58774,53993,,,,
Albania,MT2 - 02 - Dairy products,United States of America,11819,3612,475,,,,
Albania,MT2 - 02 - Dairy products,Viet Nam,,,414,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",World,89555265,100529495,109162322,134164904,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Algeria,20,1598,28749,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Antigua and Barbuda,,47,25102,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Argentina,846394,807451,961396,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Australia,5407,,,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Austria,195007,110774,92745,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Azerbaijan,,6709,,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Belgium,495338,517973,802420,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Belize,,,365,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Benin,533,,,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants","Bolivia, Plurinational State of",2217,8406,32667,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Bosnia and Herzegovina,119905,89100,109515,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Brazil,35151,45034,42802,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Bulgaria,1421627,995836,1828137,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Burkina Faso,960,5,918,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Canada,255706,118599,200997,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Chile,30022,26670,44343,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",China,1312077,1155970,1048451,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Colombia,96514,2144425,2536304,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Costa Rica,321847,209461,403727,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Côte d'Ivoire,1585,5665,5787,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Croatia,790249,549709,500984,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Cyprus,5215,39442,32575,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Czech Republic,49399,60978,88191,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Denmark,5969,42066,24402,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Dominican Republic,93830,58868,,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Ecuador,12026569,13263422,13947975,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Egypt,728066,540555,2021169,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Estonia,,,57,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Ethiopia,3560,3985,4095,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Fiji,199,296,299,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",France,520986,520902,647064,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Georgia,1822,45408,93,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Germany,1274300,2090198,2037502,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Greece,28511847,34445390,35100204,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Guatemala,2472,72455,496205,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Holy See,1585,,,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Honduras,305,194,105176,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Hungary,157553,381922,303163,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",India,106531,189533,150091,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Indonesia,10176,36851,44353,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Iran,417743,290966,186544,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Ireland,24310,12597,40280,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Israel,3781,4602,6895,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Italy,19948477,18346485,18899779,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Japan,14725,6389,3427,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Jordan,305,,2421,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Kenya,122479,185672,144521,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants","Korea, Republic of",12,16,2473,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Kyrgyz Republic,18139,63618,306906,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Latvia,441,1552,5646,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Lebanese Republic,,,2491,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Liberia,,273,,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Lithuania,3,,,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Madagascar,1604,42,,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Malaysia,75,,8479,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Mauritania,,,706,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Mauritius,221,,,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Mexico,2901690,1894212,1771691,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants","Moldova, Republic of",114439,67230,230809,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Montenegro,123396,294463,8041,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Morocco,30245,40361,76069,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Myanmar,6,,647,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Netherlands,3518533,4428881,5205257,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",New Zealand,89,9840,12,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Nicaragua,1542,114,,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Niger,490,,3796,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Nigeria,6838,,,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",North Macedonia,2551400,2522540,1581081,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Pakistan,684,26050,66813,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Panama,,170,,,,,
Albania,"MT2 - 03 - Fruits, vegetables, plants",Paraguay,15,860,4837,,,,
