"Reporting_Economy","Partner_Economy","Year","Value","rankx"
"Albania","World","2000","21743712","1"
"Albania","World","2005","58320939","1"
"Albania","World","2010","119138110","1"
"Albania","World","2015","94582547","1"
"Angola","World","2015","840631198","1"
"Antigua and Barbuda","World","2000","12531129","1"
"Antigua and Barbuda","World","2005","16414267","1"
"Antigua and Barbuda","World","2010","19839275","1"
"Antigua and Barbuda","World","2015","23465431","1"
"Argentina","World","2000","203649420","1"
"Argentina","World","2005","64441146","1"
"Argentina","World","2010","169408022","1"
"Argentina","World","2015","59686678","1"
"Argentina","World","2020","118725111","1"
"Armenia","World","2005","35370794","1"
"Armenia","World","2010","84773228","1"
"Armenia","World","2015","71320560","1"
"Australia","World","2000","149969070","1"
"Australia","World","2005","349683952","1"
"Australia","World","2010","626035872","1"
"Australia","World","2015","668020407","1"
"Bahrain, Kingdom of","World","2000","71564942","1"
"Bahrain, Kingdom of","World","2010","270036645","1"
"Bahrain, Kingdom of","World","2015","338280158","1"
"Bangladesh","World","2000","8784631","1"
"Bangladesh","World","2005","8729739","1"
"Bangladesh","World","2010","12966462","1"
"Barbados","World","2000","17649526","1"
"Barbados","World","2005","24257724","1"
"Barbados","World","2010","28021811","1"
"Belize","World","2005","4368936","1"
"Belize","World","2010","5318208","1"
"Belize","World","2015","9216380","1"
"Benin","World","2005","48732641","1"
"Benin","World","2010","164510405","1"
"Benin","World","2015","230307494","1"
"Bolivia, Plurinational State of","World","2000","5742068","1"
"Bolivia, Plurinational State of","World","2005","3238923","1"
"Bolivia, Plurinational State of","World","2010","6447959","1"
"Bolivia, Plurinational State of","World","2015","14875234","1"
"Botswana","World","2000","10573616","1"
"Botswana","World","2005","11292900","1"
"Botswana","World","2010","28480827","1"
"Botswana","World","2015","24235472","1"
"Botswana","World","2020","23089866","1"
"Brazil","World","2000","170678320","1"
"Brazil","World","2005","105511000","1"
"Brazil","World","2010","227489000","1"
"Brazil","World","2015","344811184","1"
"Brunei Darussalam","World","2000","17236333","1"
"Brunei Darussalam","World","2005","22440706","1"
"Brunei Darussalam","World","2010","37872356","1"
"Brunei Darussalam","World","2015","54526309","1"
"Bulgaria","World","2000","29069648","1"
"Burkina Faso","World","2005","331388","1"
"Burkina Faso","World","2010","1214581","1"
"Burkina Faso","World","2015","762013","1"
"Burundi","World","2005","89280","1"
"Burundi","World","2010","417524","1"
"Burundi","World","2015","3630611","1"
"Cabo Verde","World","2005","13827653","1"
"Cabo Verde","World","2010","21930095","1"
"Cabo Verde","World","2015","25007285","1"
"Cambodia","World","2005","100193","1"
"Cambodia","World","2010","2598204","1"
"Cameroon","World","2005","17366343","1"
"Cameroon","World","2010","11297366","1"
"Canada","World","2000","1253896133","1"
"Canada","World","2005","1391625560","1"
"Canada","World","2010","2426148247","1"
"Canada","World","2015","3327302291","1"
"Central African Republic","World","2005","78933","1"
"Central African Republic","World","2010","415858","1"
"Central African Republic","World","2015","2967527","1"
"Chad","World","2005","95519","1"
"Chad","World","2010","1548501","1"
"Chad","World","2015","3869769","1"
"Chile","World","2000","190433824","1"
"Chile","World","2005","374026087","1"
"Chile","World","2010","877337974","1"
"Chile","World","2015","1072079690","1"
"China","World","2005","698551658","1"
"China","World","2010","2499250214","1"
"China","World","2015","7358520205","1"
"Chinese Taipei","World","2000","320000672","1"
"Chinese Taipei","World","2005","533184350","1"
"Chinese Taipei","World","2010","807911400","1"
"Chinese Taipei","World","2015","1218252900","1"
"Chinese Taipei","World","2020","1637757000","1"
"Colombia","World","2000","46023176","1"
"Colombia","World","2005","41757692","1"
"Colombia","World","2010","101869437","1"
"Colombia","World","2015","240935541","1"
"Colombia","World","2020","323128740","1"
"Comoros","World","2015","15270927","1"
"Costa Rica","World","2000","12169633","1"
"Costa Rica","World","2005","17539093","1"
"Costa Rica","World","2010","43222652","1"
"Costa Rica","World","2015","115882113","1"
"Croatia","World","2010","370522070","1"
"Cuba","World","2000","92197045","1"
"Cuba","World","2005","220859270","1"
"Cuba","World","2010","294611979","1"
"Cuba","World","2015","320718880","1"
"Cuba","World","2020","378144872","1"
"Cyprus","World","2000","19467183","1"
"Czech Republic","World","2000","86018427","1"
"C�te d'Ivoire","World","2005","47441896","1"
"C�te d'Ivoire","World","2010","67088438","1"
"C�te d'Ivoire","World","2015","93690409","1"
"Dominica","World","2000","5480564","1"
"Dominica","World","2005","6160275","1"
"Dominica","World","2010","8660898","1"
"Dominican Republic","World","2000","22493696","1"
"Dominican Republic","World","2005","23324020","1"
"Dominican Republic","World","2010","94855099","1"
"Dominican Republic","World","2015","179396752","1"
"Ecuador","World","2000","7694286","1"
"Ecuador","World","2005","22157128","1"
"Ecuador","World","2010","45974143","1"
"Ecuador","World","2015","38102478","1"
"Egypt","World","2000","460491192","1"
"Egypt","World","2005","353552527","1"
