"Reporting_Economy","Partner_Economy","Year","Value","rankx"
"Albania","Greece","2000","15061416","1"
"Albania","Italy","2000","12006770","2"
"Albania","Switzerland","2000","8485684","3"
"Albania","Germany","2000","3729873","4"
"Albania","United Kingdom","2000","2074955","5"
"Albania","Italy","2005","23620992","1"
"Albania","China","2005","16076426","2"
"Albania","Greece","2005","9417693","3"
"Albania","United States of America","2005","8549884","4"
"Albania","Germany","2005","7721854","5"
"Albania","Serbia","2010","44782339","1"
"Albania","Switzerland","2010","43604065","2"
"Albania","Czech Republic","2010","30868216","3"
"Albania","Italy","2010","27991801","4"
"Albania","China","2010","22243133","5"
"Albania","Serbia","2015","60386908","1"
"Albania","Italy","2015","31186669","2"
"Albania","China","2015","27599494","3"
"Albania","Germany","2015","11938081","4"
"Albania","Finland","2015","11741901","5"
"Angola","United Kingdom","2015","137739410","1"
"Angola","Portugal","2015","123537025","2"
"Angola","China","2015","112982302","3"
"Angola","United States of America","2015","81274968","4"
"Angola","South Africa","2015","31439112","5"
"Antigua and Barbuda","United States of America","2000","8513662","1"
"Antigua and Barbuda","United Kingdom","2000","1060958","2"
"Antigua and Barbuda","Canada","2000","556869","3"
"Antigua and Barbuda","Trinidad and Tobago","2000","290449","4"
"Antigua and Barbuda","Mexico","2000","193520","5"
"Antigua and Barbuda","United States of America","2005","8233779","1"
"Antigua and Barbuda","Barbados","2005","926981","2"
"Antigua and Barbuda","Switzerland","2005","916933","3"
"Antigua and Barbuda","United Kingdom","2005","675239","4"
"Antigua and Barbuda","Trinidad and Tobago","2005","558758","5"
"Antigua and Barbuda","United States of America","2010","6542039","1"
"Antigua and Barbuda","Switzerland","2010","3575277","2"
"Antigua and Barbuda","Germany","2010","1163530","3"
"Antigua and Barbuda","United Kingdom","2010","1163116","4"
"Antigua and Barbuda","China","2010","757241","5"
"Antigua and Barbuda","United States of America","2015","11061109","1"
"Antigua and Barbuda","Switzerland","2015","3183563","2"
"Antigua and Barbuda","United Kingdom","2015","1029138","3"
"Antigua and Barbuda","China","2015","847485","4"
"Antigua and Barbuda","Japan","2015","516452","5"
"Argentina","United States of America","2000","401272279","1"
"Argentina","China","2000","224024888","2"
"Argentina","Paraguay","2000","187627935","3"
"Argentina","Japan","2000","110056519","4"
"Argentina","Brazil","2000","109985221","5"
"Argentina","United States of America","2005","267205759","1"
"Argentina","China","2005","262180812","2"
"Argentina","Paraguay","2005","220627965","3"
"Argentina","Brazil","2005","132563980","4"
"Argentina","Germany","2005","74208501","5"
"Argentina","China","2010","577506613","1"
"Argentina","Brazil","2010","519288944","2"
"Argentina","United States of America","2010","434220841","3"
"Argentina","Paraguay","2010","326602221","4"
"Argentina","Germany","2010","138952023","5"
"Argentina","China","2015","778352314","1"
"Argentina","United States of America","2015","528624115","2"
"Argentina","Paraguay","2015","291757950","3"
"Argentina","Germany","2015","198205621","4"
"Argentina","Brazil","2015","182913392","5"
"Argentina","China","2020","635566564","1"
"Argentina","United States of America","2020","253240302","2"
"Argentina","Paraguay","2020","244413610","3"
"Argentina","Germany","2020","136145574","4"
"Argentina","Brazil","2020","125391930","5"
"Armenia","Iran","2005","30233560","1"
"Armenia","United States of America","2005","11569936","2"
"Armenia","Germany","2005","6166213","3"
"Armenia","China","2005","4439576","4"
"Armenia","Russian Federation","2005","3707382","5"
"Armenia","China","2010","20815683","1"
"Armenia","United Arab Emirates","2010","15848764","2"
"Armenia","Germany","2010","13358144","3"
"Armenia","United States of America","2010","9701210","4"
"Armenia","Russian Federation","2010","9026882","5"
"Armenia","China","2015","25616642","1"
"Armenia","Germany","2015","19924574","2"
"Armenia","United States of America","2015","13631310","3"
"Armenia","Italy","2015","8683396","4"
"Armenia","France","2015","8425595","5"
"Australia","United States of America","2000","1600058509","1"
"Australia","China","2000","707036820","2"
"Australia","Japan","2000","675432334","3"
"Australia","United Kingdom","2000","295132359","4"
"Australia","Germany","2000","266028477","5"
"Australia","United States of America","2005","2094935731","1"
"Australia","China","2005","1937797086","2"
"Australia","Japan","2005","652274326","3"
"Australia","Germany","2005","561930263","4"
"Australia","United Kingdom","2005","442358222","5"
"Australia","China","2010","3508502948","1"
"Australia","United States of America","2010","2848874462","2"
"Australia","Germany","2010","807514191","3"
"Australia","Japan","2010","565801370","4"
"Australia","United Kingdom","2010","550143202","5"
"Australia","China","2015","4044627651","1"
"Australia","United States of America","2015","3110869830","2"
"Australia","Germany","2015","806310250","3"
"Australia","Switzerland","2015","728066684","4"
"Australia","United Kingdom","2015","538815779","5"
"Bahrain, Kingdom of","China","2000","13171438","1"
"Bahrain, Kingdom of","United Kingdom","2000","10084687","2"
"Bahrain, Kingdom of","United States of America","2000","9951806","3"
"Bahrain, Kingdom of","Japan","2000","9141532","4"
"Bahrain, Kingdom of","Switzerland","2000","7563541","5"
"Bahrain, Kingdom of","China","2010","50530482","1"
"Bahrain, Kingdom of","Switzerland","2010","42368104","2"
"Bahrain, Kingdom of","United States of America","2010","25858175","3"
"Bahrain, Kingdom of","United Kingdom","2010","25574500","4"
"Bahrain, Kingdom of","Germany","2010","19495731","5"
"Bahrain, Kingdom of","China","2015","83992429","1"
"Bahrain, Kingdom of","Switzerland","2015","52004133","2"
"Bahrain, Kingdom of","United States of America","2015","40556817","3"
"Bahrain, Kingdom of","Italy","2015","20171199","4"
"Bahrain, Kingdom of","Germany","2015","19467076","5"
"Bangladesh","China","2000","20861277","1"
"Bangladesh","India","2000","10969635","2"
"Bangladesh","Singapore","2000","10937333","3"
"Bangladesh","United States of America","2000","8323789","4"
"Bangladesh","Saudi Arabia, Kingdom of","2000","7942321","5"
"Bangladesh","China","2005","76485146","1"
"Bangladesh","Hong Kong, China","2005","51111205","2"
"Bangladesh","India","2005","27519858","3"
