state,date,cases,cases_avg,deaths,deaths_avg
Alabama,3/13/20,6,0.86,0,0
Alabama,3/14/20,6,1.71,0,0
Alabama,3/15/20,11,3.29,0,0
Alabama,3/16/20,6,4.14,0,0
Alabama,3/17/20,10,5.57,0,0
Alabama,3/18/20,12,7.29,0,0
Alabama,3/19/20,27,11.14,0,0
Alabama,3/20/20,28,14.29,0,0
Alabama,3/21/20,25,17,0,0
Alabama,3/22/20,26,19.14,0,0
Alabama,3/23/20,39,23.86,0,0
Alabama,3/24/20,46,29,0,0
Alabama,3/25/20,144,47.86,1,0.08
Alabama,3/26/20,152,65.71,2,0.21
Alabama,3/27/20,101,76.14,1,0.27
Alabama,3/28/20,81,84.14,0,0.27
Alabama,3/29/20,110,96.14,1,0.29
Alabama,3/30/20,117,107.29,6,0.61
Alabama,3/31/20,52,108.14,3,0.74
Alabama,4/1/20,109,103.14,14,3.86
Alabama,4/2/20,162,104.57,4,4.14
Alabama,4/3/20,265,128,6,4.86
Alabama,4/4/20,97,130.29,6,5
Alabama,4/5/20,208,144.29,1,5.71
Alabama,4/6/20,165,151.14,8,6
Alabama,4/7/20,192,171.14,11,7.14
Alabama,4/8/20,301,198.57,3,5.57
Alabama,4/9/20,340,224,11,6.57
Alabama,4/10/20,170,210.43,2,6
Alabama,4/11/20,254,232.86,13,7
Alabama,4/12/20,321,249,0,7
Alabama,4/13/20,222,257.14,11,7.29
Alabama,4/14/20,148,250.86,10,7.14
Alabama,4/15/20,288,249,9,8
Alabama,4/16/20,163,223.71,14,8.43
Alabama,4/17/20,168,223.43,14,10.14
Alabama,4/18/20,151,208.71,-4,10.14
Alabama,4/19/20,180,188.57,13,10.14
Alabama,4/20/20,175,181.86,4,9.38
Alabama,4/21/20,249,196.29,22,12.29
Alabama,4/22/20,283,195.57,15,13
Alabama,4/23/20,222,204,-4,13
Alabama,4/24/20,194,207.71,12,13.43
Alabama,4/25/20,187,212.86,4,12
Alabama,4/26/20,208,216.86,6,10.86
Alabama,4/27/20,118,208.71,9,10.29
Alabama,4/28/20,211,203.29,14,11.71
Alabama,4/29/20,175,187.86,20,11.43
Alabama,4/30/20,143,176.57,10,10.71
Alabama,5/1/20,226,181.14,17,11.43
Alabama,5/2/20,317,199.71,-1,11.43
Alabama,5/3/20,277,209.57,2,11.14
Alabama,5/4/20,224,224.71,8,11.43
Alabama,5/5/20,325,241,17,12.57
Alabama,5/6/20,254,252.29,28,14.57
Alabama,5/7/20,355,282.57,26,15.43
Alabama,5/8/20,339,298.71,14,16
Alabama,5/9/20,283,293.86,7,14.57
Alabama,5/10/20,221,285.86,3,14.71
Alabama,5/11/20,275,293.14,10,15
Alabama,5/12/20,300,289.57,32,17.14
Alabama,5/13/20,236,287,15,15.29
Alabama,5/14/20,401,293.57,23,14.86
Alabama,5/15/20,272,284,10,14.29
Alabama,5/16/20,301,286.57,2,13.57
Alabama,5/17/20,97,268.86,3,13.57
Alabama,5/18/20,315,274.57,1,12.29
Alabama,5/19/20,290,273.14,15,9.86
Alabama,5/20/20,676,336,18,10.29
Alabama,5/21/20,362,330.43,7,8
Alabama,5/22/20,256,328.14,12,8.29
Alabama,5/23/20,479,353.57,8,9.14
Alabama,5/24/20,329,386.71,2,9
Alabama,5/25/20,508,414.29,15,11
Alabama,5/26/20,664,467.71,14,10.86
Alabama,5/27/20,382,425.71,3,8.71
Alabama,5/28/20,498,445.14,8,8.86
Alabama,5/29/20,501,480.14,19,9.86
Alabama,5/30/20,328,458.57,8,9.86
Alabama,5/31/20,593,496.29,12,11.29
Alabama,6/1/20,582,506.86,16,11.43
Alabama,6/2/20,237,445.86,7,10.43
Alabama,6/3/20,80,402.71,0,10.43
Alabama,6/4/20,221,363.14,0,10.43
Alabama,6/5/20,315,336.57,23,9.43
Alabama,6/6/20,656,383.43,13,10.14
Alabama,6/7/20,457,364,3,8.86
Alabama,6/8/20,425,341.57,26,10.29
Alabama,6/9/20,497,378.71,11,10.86
Alabama,6/10/20,567,448.29,15,11.38
Alabama,6/11/20,856,539,11,11.33
Alabama,6/12/20,865,617.57,14,13.29
Alabama,6/13/20,891,651.14,4,12
Alabama,6/14/20,1014,730.71,0,12
Alabama,6/15/20,657,763.86,1,8
Alabama,6/16/20,640,784.29,11,8
Alabama,6/17/20,400,760.43,5,6.57
Alabama,6/18/20,894,765.86,20,7.86
Alabama,6/19/20,796,756,12,7.57
Alabama,6/20/20,547,706.86,16,9.29
Alabama,6/21/20,472,629.43,1,8.25
Alabama,6/22/20,433,597.43,2,9.57
Alabama,6/23/20,643,597.86,23,11.29
Alabama,6/24/20,967,678.86,27,14.43
Alabama,6/25/20,1142,714.29,5,12.29
Alabama,6/26/20,977,740.14,11,12.14
Alabama,6/27/20,900,790.57,12,11.57
Alabama,6/28/20,358,774.29,0,11.57
Alabama,6/29/20,1734,960.14,10,12.57
Alabama,6/30/20,870,992.57,21,12.29
Alabama,7/1/20,917,985.43,22,11.57
Alabama,7/2/20,1149,986.43,13,12.71
Alabama,7/3/20,1754,1097.43,21,14.14
Alabama,7/4/20,997,1111.29,1,12.57
Alabama,7/5/20,1091,1216,0,12.57
Alabama,7/6/20,925,1100.43,0,12.57
Alabama,7/7/20,907,1105.71,26,11.86
Alabama,7/8/20,1177,1142.86,25,12.29
Alabama,7/9/20,2212,1294.71,10,11.86
Alabama,7/10/20,1334,1234.71,36,14
Alabama,7/11/20,1439,1297.86,10,15.29
Alabama,7/12/20,1640,1376.29,7,14.25
Alabama,7/13/20,1958,1523.86,3,13
Alabama,7/14/20,1710,1638.57,40,18.71
Alabama,7/15/20,1812,1729.29,47,21.86
Alabama,7/16/20,2021,1702,19,23.14
Alabama,7/17/20,2003,1797.57,35,23
Alabama,7/18/20,2143,1898.14,21,24.57
Alabama,7/19/20,1777,1917.71,1,23.71
Alabama,7/20/20,1880,1906.57,4,23.86
Alabama,7/21/20,1467,1871.86,12,19.86
Alabama,7/22/20,1455,1820.86,61,21.86
Alabama,7/23/20,2399,1874.86,33,23.86
Alabama,7/24/20,1793,1844.86,41,24.71
Alabama,7/25/20,2125,1842.29,18,24.29
Alabama,7/26/20,1164,1754.71,17,26.57
Alabama,7/27/20,1821,1746.29,18,28.57
Alabama,7/28/20,1251,1715.43,0,28.57
Alabama,7/29/20,1416,1709.86,47,24.86
Alabama,7/30/20,1980,1650,27,24
Alabama,7/31/20,1961,1674,15,20.29
Alabama,8/1/20,1626,1602.71,23,21
Alabama,8/2/20,2095,1735.71,24,22
Alabama,8/3/20,1217,1649.43,6,20.29
Alabama,8/4/20,1041,1619.43,33,21.88
