"Reporting_Economy","Partner_Economy","Year","Value","rankx"
"Albania","World","2000","59414463","1"
"Albania","World","2005","99532328","1"
"Albania","World","2010","273158411","1"
"Albania","World","2015","204819530","1"
"Angola","World","2015","676784368","1"
"Antigua and Barbuda","World","2000","12559618","1"
"Antigua and Barbuda","World","2005","14674920","1"
"Antigua and Barbuda","World","2010","17834597","1"
"Antigua and Barbuda","World","2015","19630442","1"
"Argentina","World","2000","1607254647","1"
"Argentina","World","2005","1412120405","1"
"Argentina","World","2010","2828722872","1"
"Argentina","World","2015","2993443797","1"
"Argentina","World","2020","2043326191","1"
"Armenia","World","2005","77177783","1"
"Armenia","World","2010","113847516","1"
"Armenia","World","2015","125748083","1"
"Australia","World","2000","5305432702","1"
"Australia","World","2005","8792884505","1"
"Australia","World","2010","12650682381","1"
"Australia","World","2015","13798542153","1"
"Bahrain, Kingdom of","World","2000","89985069","1"
"Bahrain, Kingdom of","World","2010","253910870","1"
"Bahrain, Kingdom of","World","2015","347378829","1"
"Bangladesh","World","2000","124462821","1"
"Bangladesh","World","2005","384722355","1"
"Bangladesh","World","2010","502066349","1"
"Barbados","World","2000","61016683","1"
"Barbados","World","2005","89948873","1"
"Barbados","World","2010","71812472","1"
"Belize","World","2005","13994488","1"
"Belize","World","2010","20684706","1"
"Belize","World","2015","35239307","1"
"Benin","World","2005","69944821","1"
"Benin","World","2010","130869267","1"
"Benin","World","2015","135691587","1"
"Bolivia, Plurinational State of","World","2000","78597277","1"
"Bolivia, Plurinational State of","World","2005","87896238","1"
"Bolivia, Plurinational State of","World","2010","156283487","1"
"Bolivia, Plurinational State of","World","2015","339913842","1"
"Botswana","World","2000","103431399","1"
"Botswana","World","2005","133272246","1"
"Botswana","World","2010","245778876","1"
"Botswana","World","2015","234247737","1"
"Botswana","World","2020","524733189","1"
"Brazil","World","2000","2584091629","1"
"Brazil","World","2005","3658983000","1"
"Brazil","World","2010","8283388000","1"
"Brazil","World","2015","7549456155","1"
"Brunei Darussalam","World","2000","62841983","1"
"Brunei Darussalam","World","2005","60297940","1"
"Brunei Darussalam","World","2010","125543174","1"
"Brunei Darussalam","World","2015","135976796","1"
"Bulgaria","World","2000","165996720","1"
"Burkina Faso","World","2005","26575713","1"
"Burkina Faso","World","2010","50170459","1"
"Burkina Faso","World","2015","63219175","1"
"Burundi","World","2005","9489655","1"
"Burundi","World","2010","13196522","1"
"Burundi","World","2015","16586732","1"
"Cabo Verde","World","2005","11052411","1"
"Cabo Verde","World","2010","24743024","1"
"Cabo Verde","World","2015","13983296","1"
"Cambodia","World","2005","205657659","1"
"Cambodia","World","2010","145702039","1"
"Cameroon","World","2005","50278099","1"
"Cameroon","World","2010","110178014","1"
"Canada","World","2000","15253179415","1"
"Canada","World","2005","19346935255","1"
"Canada","World","2010","23262803617","1"
"Canada","World","2015","23251174489","1"
"Central African Republic","World","2005","2971751","1"
"Central African Republic","World","2010","6631935","1"
"Central African Republic","World","2015","108083474","1"
"Chad","World","2005","15107106","1"
"Chad","World","2010","72466940","1"
"Chad","World","2015","105206896","1"
"Chile","World","2000","766469311","1"
"Chile","World","2005","1155150204","1"
"Chile","World","2010","1835294449","1"
"Chile","World","2015","2326374169","1"
"China","World","2005","49968472728","1"
"China","World","2010","90763777674","1"
"China","World","2015","98763734824","1"
"Chinese Taipei","World","2000","10784311285","1"
"Chinese Taipei","World","2005","13014553082","1"
"Chinese Taipei","World","2010","13756631400","1"
"Chinese Taipei","World","2015","12782475100","1"
"Chinese Taipei","World","2020","18014264000","1"
"Colombia","World","2000","571743950","1"
"Colombia","World","2005","1052347913","1"
"Colombia","World","2010","2175987385","1"
"Colombia","World","2015","2579170329","1"
"Colombia","World","2020","2242260738","1"
"Comoros","World","2015","2919956","1"
