Country,Continent,Year,GDP per capita,Mortality,GDP
Algeria,AF,1960,3328,24.05,36306128896
Algeria,AF,1961,2868,24.1,31896877056
Algeria,AF,1962,2284,24.2,25126164480
Algeria,AF,1963,2818,24.32,31766970368
Algeria,AF,1964,2879,24.42,33433417728
Algeria,AF,1965,2981,24.53,35661975552
Algeria,AF,1966,2750,24.64,33932634112
Algeria,AF,1967,2907,24.66,37094768640
Algeria,AF,1968,3151,24.61,41423888384
Algeria,AF,1969,3355,24.41,45387460608
Algeria,AF,1970,3585,24.02,49945669632
Algeria,AF,1971,3188,23.52,45701218304
Algeria,AF,1972,3746,22.89,55293906944
Algeria,AF,1973,3757,22.14,57097850880
Algeria,AF,1974,3870,21.31,60577882112
Algeria,AF,1975,4020,20.38,64883814400
Algeria,AF,1976,4157,19.41,69150105600
Algeria,AF,1977,4398,18.41,75438030848
Algeria,AF,1978,4812,17.36,85103919104
Algeria,AF,1979,5088,16.24,92753895424
Algeria,AF,1980,5024,14.96,94481653760
Algeria,AF,1981,4991,13.49,96860520448
Algeria,AF,1982,5145,11.89,1.03E+11
Algeria,AF,1983,5243,10.26,1.08E+11
Algeria,AF,1984,5361,8.73,1.14E+11
Algeria,AF,1985,5469,7.46,1.2E+11
Algeria,AF,1986,5262,6.52,1.19E+11
Algeria,AF,1987,5088,5.86,1.18E+11
Algeria,AF,1988,4850,5.42,1.16E+11
Algeria,AF,1989,4889,5.13,1.2E+11
Algeria,AF,1990,4697,4.95,1.18E+11
Algeria,AF,1991,4708.231934,4.81,1.21E+11
Algeria,AF,1992,4850.223145,4.7,1.28E+11
Algeria,AF,1993,4816.923828,4.59,1.3E+11
Algeria,AF,1994,4856.985352,4.48,1.34E+11
Algeria,AF,1995,5142.383789,4.36,1.45E+11
Algeria,AF,1996,5451.634277,4.25,1.57E+11
Algeria,AF,1997,5638.47998,4.16,1.65E+11
Algeria,AF,1998,6069.777344,4.08,1.8E+11
Algeria,AF,1999,6421.508301,4.03,1.93E+11
Algeria,AF,2000,6834.553711,3.97,2.09E+11
Algeria,AF,2001,7218.245605,3.89,2.23E+11
Algeria,AF,2002,7814.838379,3.78,2.45E+11
Algeria,AF,2003,8590.177734,3.65,2.74E+11
Algeria,AF,2004,9182.293945,3.51,2.97E+11
Algeria,AF,2005,9969.623047,3.36,3.27E+11
Algeria,AF,2006,10385.7793,3.21,3.46E+11
Algeria,AF,2007,10974.74219,3.08,3.72E+11
Algeria,AF,2008,11475.00195,2.95,3.96E+11
Algeria,AF,2009,11907.02148,2.84,4.18E+11
Algeria,AF,2010,12587.74414,2.74,4.51E+11
Algeria,AF,2011,13204,2.67,4.82E+11
Algeria,AF,2012,13379,2.62,4.98E+11
Algeria,AF,2013,13494,2.58,5.12E+11
Algeria,AF,2014,13744,2.55,5.31E+11
Algeria,AF,2015,14004,2.52,5.52E+11
Algeria,AF,2016,14331,2.48,5.75E+11
Algeria,AF,2017,14267.23047,2.43,5.82E+11
Algeria,AF,2018,14228.02539,2.38,5.9E+11
Afghanistan,AS,1962,1302,34.46,13367633920
Afghanistan,AS,1963,1298,33.87,13630298112
Afghanistan,AS,1964,1291,33.31,13870503936
Afghanistan,AS,1965,1290,32.76,14187419648
Afghanistan,AS,1966,1272,32.2,14325264384
Afghanistan,AS,1967,1277,31.68,14734025728
Afghanistan,AS,1968,1290,31.14,15254250496
