"Reporting_Economy","Partner_Economy","Year","Value","rankx"
"Albania","World","2000","61266287","1"
"Albania","World","2005","176485883","1"
"Albania","World","2010","418897883","1"
"Albania","World","2015","337442672","1"
"Angola","World","2015","1262406445","1"
"Antigua and Barbuda","World","2000","34631684","1"
"Antigua and Barbuda","World","2005","261826283","1"
"Antigua and Barbuda","World","2010","52472261","1"
"Antigua and Barbuda","World","2015","77044187","1"
"Argentina","World","2000","630573480","1"
"Argentina","World","2005","727902907","1"
"Argentina","World","2010","2447163705","1"
"Argentina","World","2015","2474146710","1"
"Argentina","World","2020","876382961","1"
"Armenia","World","2005","156510067","1"
"Armenia","World","2010","305028262","1"
"Armenia","World","2015","213447394","1"
"Australia","World","2000","5283159439","1"
"Australia","World","2005","12759293741","1"
"Australia","World","2010","23855248061","1"
"Australia","World","2015","20460648167","1"
"Bahrain, Kingdom of","World","2000","9532653","1"
"Bahrain, Kingdom of","World","2010","41286358","1"
"Bahrain, Kingdom of","World","2015","84296277","1"
"Bangladesh","World","2000","529962775","1"
"Bangladesh","World","2005","1019042134","1"
"Bangladesh","World","2010","1583123583","1"
"Barbados","World","2000","127740899","1"
"Barbados","World","2005","278726870","1"
"Barbados","World","2010","6890801","1"
"Belize","World","2005","89195294","1"
"Belize","World","2010","104306118","1"
"Belize","World","2015","101157765","1"
"Benin","World","2005","122789118","1"
"Benin","World","2010","287651701","1"
"Benin","World","2015","289323702","1"
"Bolivia, Plurinational State of","World","2000","96475368","1"
"Bolivia, Plurinational State of","World","2005","233466279","1"
"Bolivia, Plurinational State of","World","2010","588565137","1"
"Bolivia, Plurinational State of","World","2015","1078202162","1"
"Botswana","World","2000","112080316","1"
"Botswana","World","2005","372739177","1"
"Botswana","World","2010","705738862","1"
"Botswana","World","2015","768188619","1"
"Botswana","World","2020","622476753","1"
"Brazil","World","2000","6933518719","1"
"Brazil","World","2005","10572769000","1"
"Brazil","World","2010","21223294000","1"
"Brazil","World","2015","16009437383","1"
"Brunei Darussalam","World","2000","2169001","1"
"Brunei Darussalam","World","2005","19004510","1"
"Brunei Darussalam","World","2010","127094383","1"
"Brunei Darussalam","World","2015","193124036","1"
"Bulgaria","World","2000","40128471","1"
"Burkina Faso","World","2005","218523140","1"
"Burkina Faso","World","2010","424781807","1"
"Burkina Faso","World","2015","717028881","1"
"Burundi","World","2005","21253588","1"
"Burundi","World","2010","6536569","1"
"Burundi","World","2015","112641353","1"
"Cabo Verde","World","2005","33722328","1"
"Cabo Verde","World","2010","77526946","1"
"Cabo Verde","World","2015","70460415","1"
"Cambodia","World","2005","175891582","1"
"Cambodia","World","2010","316383883","1"
"Cameroon","World","2005","687793035","1"
"Cameroon","World","2010","1324908301","1"
"Canada","World","2000","10786385698","1"
"Canada","World","2005","22881405822","1"
"Canada","World","2010","30519361703","1"
"Canada","World","2015","24846181193","1"
"Central African Republic","World","2005","25630404","1"
"Central African Republic","World","2010","2129363","1"
"Central African Republic","World","2015","1765137","1"
"Chad","World","2005","7293636","1"
"Chad","World","2010","202260162","1"
"Chad","World","2015","8974961","1"
"Chile","World","2000","2394651843","1"
"Chile","World","2005","5290231628","1"
"Chile","World","2010","8895769656","1"
"Chile","World","2015","6484890501","1"
"China","World","2005","57562905782","1"
"China","World","2010","152000000000","1"
"China","World","2015","149000000000","1"
"Chinese Taipei","World","2000","10051651353","1"
"Chinese Taipei","World","2005","21071698138","1"
"Chinese Taipei","World","2010","37042729000","1"
"Chinese Taipei","World","2015","24958020800","1"
"Chinese Taipei","World","2020","18072922000","1"
"Colombia","World","2000","221205187","1"
"Colombia","World","2005","524602439","1"
"Colombia","World","2010","2021303991","1"
"Colombia","World","2015","5088577768","1"
"Colombia","World","2020","1898615771","1"
"Comoros","World","2015","9612542","1"
"Costa Rica","World","2000","455620324","1"
"Costa Rica","World","2005","998576261","1"
"Costa Rica","World","2010","1592467864","1"
"Costa Rica","World","2015","1236584676","1"
"Croatia","World","2010","2866478957","1"
"Cuba","World","2000","1134748084","1"
"Cuba","World","2005","1952375700","1"
"Cuba","World","2010","3495424264","1"
"Cuba","World","2015","3000894338","1"
"Cuba","World","2020","915087","1"
"Cyprus","World","2000","475098866","1"
"Czech Republic","World","2000","1763194865","1"
"C�te d'Ivoire","World","2005","1631958540","1"
"C�te d'Ivoire","World","2010","1795664758","1"
"C�te d'Ivoire","World","2015","2000593316","1"
"Dominica","World","2000","12634066","1"
"Dominica","World","2005","19614974","1"
"Dominica","World","2010","35317912","1"
"Dominican Republic","World","2000","1337321506","1"
"Dominican Republic","World","2005","2055843973","1"
"Dominican Republic","World","2010","2752342604","1"
"Dominican Republic","World","2015","2109690095","1"
"Ecuador","World","2000","91364069","1"
"Ecuador","World","2005","849040947","1"
"Ecuador","World","2010","2651006767","1"
"Ecuador","World","2015","1983183301","1"
"Egypt","World","2000","735907189","1"
"Egypt","World","2005","1686230692","1"
"Egypt","World","2010","3658850025","1"
"Egypt","World","2015","8889677289","1"
"El Salvador","World","2000","501495498","1"
"El Salvador","World","2005","776994505","1"
"El Salvador","World","2010","1156687111","1"
"El Salvador","World","2015","1167949180","1"
"El Salvador","World","2020","745937425","1"
"Estonia","World","2000","181425345","1"
"Eswatini","World","2005","158688709","1"
"Eswatini","World","2010","201585891","1"
"Eswatini","World","2015","166240575","1"
"European Union","World","2000","108000000000","1"
"European Union","World","2005","240000000000","1"
"European Union","World","2010","350000000000","1"
"European Union","World","2015","251000000000","1"
"European Union","World","2020","163000000000","1"
"Fiji","World","2005","453561645","1"
"Fiji","World","2010","553419732","1"
"Fiji","World","2015","453767309","1"
"Gabon","World","2005","43423743","1"
"Gabon","World","2010","284845381","1"
"Gabon","World","2015","207239417","1"
"Georgia","World","2005","336302000","1"
"Georgia","World","2010","698220460","1"
"Georgia","World","2015","705223845","1"
"Ghana","World","2010","61907383","1"
"Grenada","World","2000","4570500","1"
"Guatemala","World","2000","578668388","1"
"Guatemala","World","2005","1408062363","1"
"Guatemala","World","2010","2110252763","1"
"Guinea","World","2005","307728292","1"
"Guinea","World","2010","566302525","1"
"Guinea-Bissau","World","2005","18443084","1"
"Guyana","World","2010","402751439","1"
"Guyana","World","2015","356244041","1"
"Haiti","World","2010","446439112","1"
"Honduras","World","2000","361135543","1"
"Honduras","World","2005","919360920","1"
"Honduras","World","2010","2210572780","1"
"Hong Kong, China","World","2000","3405331580","1"
"Hong Kong, China","World","2005","6367334218","1"
"Hong Kong, China","World","2010","12748291702","1"
"Hong Kong, China","World","2015","9030847556","1"
"Hong Kong, China","World","2020","5767688443","1"
"Hungary","World","2000","1406814692","1"
"Iceland","World","2000","220221177","1"
"Iceland","World","2005","426817023","1"
"Iceland","World","2010","461677773","1"
"India","World","2000","15908619999","1"
"India","World","2005","44136054422","1"
"India","World","2010","98771331174","1"
"India","World","2015","69945713728","1"
"India","World","2020","65255255007","1"
"Indonesia","World","2000","5974412825","1"
"Indonesia","World","2005","17374350126","1"
"Indonesia","World","2010","26185510003","1"
"Indonesia","World","2015","22071804748","1"
"Israel","World","2000","3104446000","1"
"Israel","World","2005","5803213000","1"
"Israel","World","2010","8622586000","1"
"Israel","World","2015","6342553000","1"
"Israel","World","2020","808047000","1"
"Jamaica","World","2000","624293880","1"
"Jamaica","World","2010","1523566240","1"
"Jamaica","World","2015","1099508887","1"
"Japan","World","2000","53251693774","1"
"Japan","World","2005","92954356006","1"
"Japan","World","2010","124000000000","1"
"Japan","World","2015","81833923242","1"
"Jordan","World","2000","669070660","1"
"Jordan","World","2005","2159208936","1"
"Jordan","World","2010","2798652791","1"
"Jordan","World","2015","409044314","1"
"Kazakhstan","World","2015","948894264","1"
"Kenya","World","2000","837034496","1"
"Kenya","World","2005","1284907209","1"
"Kenya","World","2010","2438153285","1"
"Korea, Republic of","World","2000","30078801782","1"
"Korea, Republic of","World","2005","50101910226","1"
"Korea, Republic of","World","2010","85945486386","1"
"Korea, Republic of","World","2015","70140860696","1"
"Korea, Republic of","World","2020","57198816219","1"
"Kuwait, the State of","World","2005","61835024","1"
"Kuwait, the State of","World","2015","141255875","1"
"Kyrgyz Republic","World","2000","57094571","1"
"Kyrgyz Republic","World","2005","210894450","1"
"Kyrgyz Republic","World","2010","646760864","1"
"Kyrgyz Republic","World","2015","644021818","1"
"Lao People's Democratic Republic","World","2015","1434958155","1"
"Latvia","World","2000","222941456","1"
"Lesotho","World","2015","159798847","1"
"Macao, China","World","2000","135781241","1"
"Macao, China","World","2005","326509386","1"
"Macao, China","World","2010","145427344","1"
"Macao, China","World","2015","272663751","1"
"Macao, China","World","2020","49717060","1"
"Madagascar","World","2000","221147395","1"
"Madagascar","World","2005","269617080","1"
"Madagascar","World","2010","368847364","1"
"Madagascar","World","2015","444813953","1"
"Malawi","World","2000","81290493","1"
"Malawi","World","2010","198630457","1"
"Malawi","World","2015","235134860","1"
"Malaysia","World","2000","3484659167","1"
"Malaysia","World","2010","13552510740","1"
