Reporting_Economy,2000,2005,2010,2015,2020
Albania,61266287,176485883,418897883,337442672,
Angola,,,,1262406445,
Antigua and Barbuda,34631684,261826283,52472261,77044187,
Argentina,630573480,727902907,2447163705,2474146710,876382961
Armenia,,156510067,305028262,213447394,
Australia,5283159439,12759293741,23855248061,20460648167,
"Bahrain, Kingdom of",9532653,,41286358,84296277,
Bangladesh,529962775,1019042134,1583123583,,
Barbados,127740899,278726870,6890801,,
Belize,,89195294,104306118,101157765,
Benin,,122789118,287651701,289323702,
"Bolivia, Plurinational State of",96475368,233466279,588565137,1078202162,
Botswana,112080316,372739177,705738862,768188619,622476753
Brazil,6933518719,10572769000,21223294000,16009437383,
Brunei Darussalam,2169001,19004510,127094383,193124036,
Bulgaria,40128471,,,,
Burkina Faso,,218523140,424781807,717028881,
Burundi,,21253588,6536569,112641353,
Cabo Verde,,33722328,77526946,70460415,
Cambodia,,175891582,316383883,,
Cameroon,,687793035,1324908301,,
Canada,10786385698,22881405822,30519361703,24846181193,
Central African Republic,,25630404,2129363,1765137,
Chad,,7293636,202260162,8974961,
Chile,2394651843,5290231628,8895769656,6484890501,
China,,57562905782,152000000000,149000000000,
Chinese Taipei,10051651353,21071698138,37042729000,24958020800,18072922000
Colombia,221205187,524602439,2021303991,5088577768,1898615771
Comoros,,,,9612542,
Costa Rica,455620324,998576261,1592467864,1236584676,
Croatia,,,2866478957,,
Cuba,1134748084,1952375700,3495424264,3000894338,915087
Cyprus,475098866,,,,
Czech Republic,1763194865,,,,
C�te d'Ivoire,,1631958540,1795664758,2000593316,
Dominica,12634066,19614974,35317912,,
Dominican Republic,1337321506,2055843973,2752342604,2109690095,
Ecuador,91364069,849040947,2651006767,1983183301,
Egypt,735907189,1686230692,3658850025,8889677289,
El Salvador,501495498,776994505,1156687111,1167949180,745937425
Estonia,181425345,,,,
Eswatini,,158688709,201585891,166240575,
European Union,108000000000,240000000000,350000000000,251000000000,163000000000
Fiji,,453561645,553419732,453767309,
Gabon,,43423743,284845381,207239417,
Georgia,,336302000,698220460,705223845,
Ghana,,,61907383,,
Grenada,4570500,,,,
Guatemala,578668388,1408062363,2110252763,,
Guinea,,307728292,566302525,,
Guinea-Bissau,,18443084,,,
Guyana,,,402751439,356244041,
Haiti,,,446439112,,
Honduras,361135543,919360920,2210572780,,
"Hong Kong, China",3405331580,6367334218,12748291702,9030847556,5767688443
Hungary,1406814692,,,,
Iceland,220221177,426817023,461677773,,
India,15908619999,44136054422,98771331174,69945713728,65255255007
Indonesia,5974412825,17374350126,26185510003,22071804748,
Israel,3104446000,5803213000,8622586000,6342553000,808047000
Jamaica,624293880,,1523566240,1099508887,
Japan,53251693774,92954356006,124000000000,81833923242,
Jordan,669070660,2159208936,2798652791,409044314,
Kazakhstan,,,,948894264,
Kenya,837034496,1284907209,2438153285,,
"Korea, Republic of",30078801782,50101910226,85945486386,70140860696,57198816219
"Kuwait, the State of",,61835024,,141255875,
Kyrgyz Republic,57094571,210894450,646760864,644021818,
Lao People's Democratic Republic,,,,1434958155,
Latvia,222941456,,,,
Lesotho,,,,159798847,
"Macao, China",135781241,326509386,145427344,272663751,49717060
Madagascar,221147395,269617080,368847364,444813953,
Malawi,81290493,,198630457,235134860,
Malaysia,3484659167,,13552510740,11813977884,17977532135
Maldives,41105587,100031393,217076153,275344399,256265081
Mali,166733087,365694751,1201245939,783828292,
Malta,232938319,,,,
Mauritania,,,427828095,,
Mauritius,214641203,453060006,702817735,582091591,522082465
Mexico,3283461517,7257030025,18269658065,19973341870,15210098446
"Moldova, Republic of",,298855200,416182900,396373500,349885696
Mongolia,109807433,277212945,674043521,708099523,816863507
Montenegro,,,,154210001,
Morocco,1555135220,3353571487,5576419786,,
Mozambique,130216511,32626521,520594345,1150397017,
Myanmar,250348300,262422468,908535011,1816418313,2446790737
Namibia,,44616098,521610760,1090106615,
Nepal,,,679355482,605523358,
New Zealand,1319410594,3048311195,4551555222,3562154790,
Nicaragua,292779226,426489837,854542700,688725503,562171790
Niger,,94486473,256625485,79170831,
Nigeria,,,375533286,,
North Macedonia,,475404048,716225050,439439838,
Norway,896662278,1777893268,3438718599,2618317689,
Oman,,361892369,,,
Pakistan,,4978129189,10754895361,8921114771,
Panama,612557482,525335844,198527084,417834716,
Papua New Guinea,224551983,108714980,,,
Paraguay,323131517,496202157,1107178601,1324185072,
Peru,1047684190,2285971700,4111331965,3812328313,
Philippines,3654537568,5956586975,8778400027,8280195190,5900236896
Poland,4037970865,,,,
Qatar,,27251144,89833234,127261318,103302963
Rwanda,,52471390,,16958608,315195125
Saint Kitts and Nevis,13722089,,9027861,,
Saint Lucia,34477744,62575759,,,
Saint Vincent and the Grenadines,26987605,,78111328,,
Samoa,,,,47041918,38889949
"Saudi Arabia, Kingdom of",,88335451,152597333,604966484,3808656836
Senegal,,709173721,1280668863,1160761333,1599920881
Serbia,,,1465986173,,
Seychelles,,,,284231498,
Sierra Leone,,,180725219,472383566,
Singapore,16160000971,35354790156,77406179970,60746135982,
Slovak Republic,1078354940,,,,
South Africa,3667502151,7487530165,14561219545,12308416453,
Sri Lanka,521386665,1029715899,1880212415,2484785995,
Suriname,,,255523028,317293044,
Switzerland,3299972642,6197090104,6948619269,5638949676,3580847043
Tanzania,194763397,696134676,2153264582,,
Thailand,7258586779,18758110103,25573490080,21593396784,
Togo,68149020,169041206,169810092,225717304,242854576
Tonga,,,34335547,34638501,
