"Reporting_Economy","Partner_Economy","METRIC","rankx"
"Albania","Italy","90608999","2"
"Albania","Greece","65058344","3"
"Albania","Russian Federation","40609106","4"
"Albania","Serbia","36469557","5"
"Albania","Turkey","25920365","6"
"Angola","Brazil","372788515","2"
"Angola","Portugal","342472196","3"
"Angola","United States of America","206799935","4"
"Angola","South Africa","196636596","5"
"Angola","Belgium","151457260","6"
"Antigua and Barbuda","United States of America","48057595","2"
"Antigua and Barbuda","Brazil","4835908","3"
"Antigua and Barbuda","Trinidad and Tobago","3601436","4"
"Antigua and Barbuda","United Kingdom","3031663","5"
"Antigua and Barbuda","Saint Vincent and the Grenadines","2752754","6"
"Argentina","Brazil","370383195","2"
"Argentina","Ecuador","192047304","3"
"Argentina","Chile","126275039","4"
"Argentina","United States of America","58703117","5"
"Argentina","Bolivia, Plurinational State of","49330322","6"
"Armenia","Russian Federation","142601900","2"
"Armenia","Ukraine","32379964","3"
"Armenia","Indonesia","20198149","4"
"Armenia","Brazil","19859954","5"
"Armenia","United States of America","18338606","6"
"Australia","New Zealand","1392189943","2"
"Australia","United States of America","991059503","3"
"Australia","Singapore","626364169","4"
"Australia","China","479465622","5"
"Australia","Italy","390395227","6"
"Bahrain, Kingdom of","Saudi Arabia, Kingdom of","204571325","2"
"Bahrain, Kingdom of","Australia","160920319","3"
"Bahrain, Kingdom of","India","117974738","4"
"Bahrain, Kingdom of","United States of America","78040903","5"
"Bahrain, Kingdom of","United Arab Emirates","62341053","6"
"Belize","United States of America","40465221","2"
"Belize","Mexico","17607150","3"
"Belize","Guatemala","4134163","4"
"Belize","Netherlands","4011866","5"
"Belize","Costa Rica","3913990","6"
"Benin","India","214905931","2"
"Benin","Thailand","189508957","3"
"Benin","France","78641475","4"
"Benin","Netherlands","38771834","5"
"Benin","Brazil","36518754","6"
"Bolivia, Plurinational State of","Argentina","187209966","2"
"Bolivia, Plurinational State of","Chile","83822951","3"
"Bolivia, Plurinational State of","Brazil","63522470","4"
"Bolivia, Plurinational State of","Peru","60358126","5"
"Bolivia, Plurinational State of","United States of America","37816567","6"
"Botswana","South Africa","370710400","2"
"Botswana","Namibia","4841378","3"
"Botswana","Zambia","4447010","4"
"Botswana","Zimbabwe","2077514","5"
"Botswana","Lithuania","1740776","6"
"Brazil","Argentina","2474245385","2"
"Brazil","Uruguay","512859019","3"
"Brazil","Paraguay","374971870","4"
"Brazil","United States of America","371412170","5"
"Brazil","Chile","260386778","6"
"Brunei Darussalam","Malaysia","150434929","2"
"Brunei Darussalam","Thailand","38556450","3"
"Brunei Darussalam","Australia","35937912","4"
"Brunei Darussalam","Singapore","25107501","5"
"Brunei Darussalam","India","16732543","6"
"Burkina Faso","France","53616632","2"
"Burkina Faso","Thailand","44826155","3"
