Reporting Economy,Product/Sector,Partner Economy,2015,2016,2017,2018,2019,2020
World,SI3_AGG - TO - Total merchandise,World,16560762.0,16046277.0,17746583.0,19559050.0,19019026.0,17618935.0
Afghanistan,SI3_AGG - TO - Total merchandise,World,571.0,596.0,723.0,875.0,864.0,732.0
Africa,SI3_AGG - TO - Total merchandise,World,397667.0,363879.0,434666.0,509726.0,478649.0,386332.0
"African, Caribbean and Pacific States (ACP)",SI3_AGG - TO - Total merchandise,World,334304.0,299169.0,356007.0,410473.0,386135.0,326136.0
"Africa, CIS and Middle East",SI3_AGG - TO - Total merchandise,World,1748852.0,1563492.0,1848092.0,2273324.0,2113769.0,1630657.0
Albania,SI3_AGG - TO - Total merchandise,World,1917.0,1959.0,2292.0,2870.0,2716.0,2506.0
Algeria,SI3_AGG - TO - Total merchandise,World,34668.0,30026.0,35191.0,41797.0,35824.0,21617.0
American Samoa,SI3_AGG - TO - Total merchandise,World,379.0,388.0,397.0,513.0,437.0,491.0
Andean Community (ANDEAN),SI3_AGG - TO - Total merchandise,World,97162.0,92718.0,109287.0,121435.0,118265.0,100660.0
Andorra,SI3_AGG - TO - Total merchandise,World,90.0,97.0,118.0,129.0,126.0,117.0
Angola,SI3_AGG - TO - Total merchandise,World,33181.0,27589.0,34613.0,40758.0,34726.0,20937.0
Anguilla,SI3_AGG - TO - Total merchandise,World,11.0,7.0,11.0,12.0,12.0,11.0
Antigua and Barbuda,SI3_AGG - TO - Total merchandise,World,66.0,61.0,21.0,26.0,38.0,22.0
Argentina,SI3_AGG - TO - Total merchandise,World,56784.0,57910.0,58644.0,61781.0,65116.0,54884.0
Armenia,SI3_AGG - TO - Total merchandise,World,1485.0,1792.0,2245.0,2412.0,2640.0,2544.0
"Aruba, the Netherlands with respect to",SI3_AGG - TO - Total merchandise,World,330.0,284.0,135.0,194.0,131.0,98.0
Asia,SI3_AGG - TO - Total merchandise,World,5967082.0,5759579.0,6381627.0,6904496.0,6773997.0,6680814.0
Asia-Pacific Economic Cooperation (APEC),SI3_AGG - TO - Total merchandise,World,8325980.0,7982945.0,8811519.0,9587555.0,9406581.0,8971269.0
Association of Southeast Asian Nations (ASEAN),SI3_AGG - TO - Total merchandise,World,1167083.0,1145109.0,1316348.0,1447883.0,1423772.0,1384557.0
Australia,SI3_AGG - TO - Total merchandise,World,187684.0,192505.0,231131.0,257098.0,271005.0,250578.0
Australia and New Zealand,SI3_AGG - TO - Total merchandise,World,222039.0,226260.0,269206.0,296770.0,310522.0,289497.0
Austria,SI3_AGG - TO - Total merchandise,World,152728.0,152090.0,168026.0,184815.0,178670.0,168538.0
Azerbaijan,SI3_AGG - TO - Total merchandise,World,16592.0,13108.0,15481.0,20317.0,19636.0,13470.0
Bahamas,SI3_AGG - TO - Total merchandise,World,521.0,481.0,571.0,642.0,669.0,354.0
"Bahrain, Kingdom of",SI3_AGG - TO - Total merchandise,World,16540.0,12785.0,15376.0,18044.0,18120.0,14066.0
Bangladesh,SI3_AGG - TO - Total merchandise,World,32379.0,34894.0,35851.0,39252.0,39337.0,33605.0
Barbados,SI3_AGG - TO - Total merchandise,World,483.0,517.0,485.0,448.0,444.0,345.0
Belarus,SI3_AGG - TO - Total merchandise,World,26660.0,23537.0,29241.0,33907.0,32960.0,29034.0
Belgium,SI3_AGG - TO - Total merchandise,World,396841.0,398134.0,429645.0,468650.0,446944.0,419892.0
Belize,SI3_AGG - TO - Total merchandise,World,538.0,443.0,457.0,451.0,462.0,287.0
Benin,SI3_AGG - TO - Total merchandise,World,1682.0,1774.0,2216.0,3344.0,3052.0,2316.0
Bermuda,SI3_AGG - TO - Total merchandise,World,22.0,19.0,18.0,18.0,19.0,11.0
Bhutan,SI3_AGG - TO - Total merchandise,World,549.0,525.0,573.0,606.0,674.0,651.0
"Bolivia, Plurinational State of",SI3_AGG - TO - Total merchandise,World,8726.0,7082.0,7846.0,8965.0,8757.0,7015.0
"Bonaire, Sint Eustatius and Saba",SI3_AGG - TO - Total merchandise,World,1.0,1.0,1.0,1.0,1.0,1.0
Bosnia and Herzegovina,SI3_AGG - TO - Total merchandise,World,5098.0,5328.0,6402.0,7182.0,6578.0,6152.0
Botswana,SI3_AGG - TO - Total merchandise,World,6316.0,7366.0,5870.0,6573.0,5237.0,4262.0
Brazil,SI3_AGG - TO - Total merchandise,World,191134.0,185232.0,217739.0,239264.0,225383.0,209878.0
BRIC members,SI3_AGG - TO - Total merchandise,World,3073973.0,2829116.0,3133270.0,3494651.0,3469030.0,3408628.0
BRICS members,SI3_AGG - TO - Total merchandise,World,3154975.0,2905331.0,3222216.0,3588621.0,3559046.0,3494462.0
Brunei Darussalam,SI3_AGG - TO - Total merchandise,World,6353.0,4875.0,5571.0,6574.0,7039.0,6608.0
