name,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,1170.0,1189.0,1240.0,1245.0,1246.0,1278.0,1253.0,1298.0,1307.0,1326.0,1309.0,1302.0,1298.0,1291.0,1290.0,1272.0,1277.0,1290.0,1278.0,1272.0,1237.0,1007.0,1011.0,1039.0,1074.0,1105.0,1022.0,1070.0,1023.0,1019.0,1144.0,1270.0,1347.0,1337.0,1304.0,1344.0,1211.0,1101.0,999.0,963.0,881.1704102,843.8753052,578.40271,428.4245911,632.9404297,600.175293,570.5980835,545.0388184,518.6578979,502.3727112,489.6820068,796.8165894,842.8051758,869.0393066,964.4080811,1057.096558,1259.996704,1319.607422,1557.320557,1627.671631,1792.0,1945.0,2025.0,2022.0,1928.0,1929.0,2014.745239,1934.555054
Albania,1666.0,1667.0,1736.0,1785.0,1882.0,1902.0,2023.0,2114.0,2201.0,2313.0,2332.0,2409.0,2491.0,2576.0,2670.0,2770.0,2876.0,2979.0,3080.0,3194.0,3322.0,3451.0,3623.0,3637.0,3649.0,3665.0,3681.0,3696.0,3716.0,3741.0,3762.0,3783.0,3805.0,3826.0,3846.0,3870.0,3894.0,3920.0,3948.0,3983.0,2942.100586,2841.765137,3137.023926,3399.710205,3666.650635,3965.685303,3526.985596,3873.373291,4432.04248,4808.479492,5285.809082,5608.962402,6004.64502,6419.870605,6858.466797,7347.330078,7866.157715,8522.129883,8859.47168,9222.972656,9484.0,9592.0,9660.0,9808.0,10032.0,10342.0,10702.12012,11104.16602
Algeria,2147.0,2193.0,2182.0,2291.0,2303.0,2475.0,2699.0,2740.0,3178.0,3328.0,2868.0,2284.0,2818.0,2879.0,2981.0,2750.0,2907.0,3151.0,3355.0,3585.0,3188.0,3746.0,3757.0,3870.0,4020.0,4157.0,4398.0,4812.0,5088.0,5024.0,4991.0,5145.0,5243.0,5361.0,5469.0,5262.0,5088.0,4850.0,4889.0,4697.0,4708.231934,4850.223145,4816.923828,4856.985352,5142.383789,5451.634277,5638.47998,6069.777344,6421.508301,6834.553711,7218.245605,7814.838379,8590.177734,9182.293945,9969.623047,10385.7793,10974.74219,11475.00195,11907.02148,12587.74414,13204.0,13379.0,13494.0,13744.0,14004.0,14331.0,14267.23047,14228.02539
Angola,1715.0,1755.0,1795.0,1720.0,1830.0,1769.0,1908.0,1978.0,1953.0,1997.0,2225.0,2128.0,2200.0,2407.0,2544.0,2646.0,2753.0,2665.0,2695.0,2818.0,2754.0,2729.0,2852.0,2727.0,1710.0,1521.0,1500.0,1530.0,1527.0,1532.0,1471.0,1374.0,1288.0,1259.0,1242.0,1106.0,1211.0,1360.0,1360.0,1384.0,1437.147217,1389.329468,1080.480591,1120.848145,1319.158936,1533.983887,1687.317749,1811.168091,1899.415161,2013.63623,2162.485107,2522.671875,2711.928223,3064.298584,3708.770508,4592.337402,5773.54834,6743.748047,7087.604004,7520.666016,8016.0,8190.0,8508.0,8673.0,8689.0,8453.0,8146.435547,7771.441895
Argentina,8086.0,7519.0,7769.0,7938.0,8348.0,8424.0,8705.0,9083.0,8354.0,8861.0,9344.0,9049.0,8695.0,9446.0,10155.0,10076.0,10200.0,10485.0,11217.0,11639.0,12003.0,12170.0,12691.0,13284.0,12946.0,12696.0,13236.0,12444.0,13114.0,13080.0,12125.0,11550.0,11775.0,11837.0,10895.0,11515.0,11633.0,11244.0,10393.0,10254.0,11223.98438,12267.08398,12926.79492,13571.37988,13086.03613,13715.22656,14722.64551,15185.95898,14577.83203,14368.94238,13651.98145,12094.77246,13088.56543,14183.22559,15344.15723,16490.47266,17891.94336,18520.30469,17328.97656,18979.99219,20003.0,19599.0,19873.0,19183.0,19502.0,18875.0,19200.90625,18556.38281
Armenia,,,,,,,,,,,,,,,,,,,,,,,9806.0,,,,,,,9291.0,9548.0,9809.0,9865.0,10181.0,10485.0,10394.0,9789.0,9301.0,10525.0,9669.0,8141.670898,4699.61084,4130.146973,4392.97998,4703.130859,4811.489258,4836.044434,4994.053223,5000.452637,5139.825684,5457.510254,6082.145996,6743.241211,7229.648438,8006.960449,8798.75,9713.212891,10080.8125,8399.086914,8330.811523,8465.0,9077.0,9385.0,9735.0,10042.0,10080.0,10859.37793,11454.4248
Australia,11966.0,11824.0,11963.0,12419.0,12795.0,12924.0,12895.0,13238.0,13753.0,14013.0,13793.0,14389.0,14983.0,15699.0,16182.0,16324.0,17108.0,17770.0,18428.0,19166.0,19590.0,19772.0,20527.0,20698.0,20993.0,21613.0,21592.0,21948.0,22826.0,22972.0,23368.0,22972.0,22697.0,24009.0,24927.0,25116.0,25971.0,26702.0,27407.0,27373.0,26861.27539,27560.17773,28622.47656,29844.17188,30690.0625,31740.46875,32857.99219,34337.14063,35551.01953,36603.04688,37275.99219,38567.06641,39523.65625,40887.72656,41904.44531,42650.98438,44033.58203,44421.64063,44686.54297,45400.22266,46132.0,46999.0,47250.0,47867.0,48357.0,48845.0,49265.61328,49830.80078
Austria,6311.0,6323.0,6594.0,7261.0,8054.0,8603.0,9111.0,9416.0,9645.0,10391.0,10882.0,11078.0,11454.0,12062.0,12328.0,12930.0,13225.0,13742.0,14555.0,15537.0,16259.0,17169.0,17908.0,18583.0,18564.0,19448.0,20350.0,20293.0,21436.0,21932.0,21866.0,22254.0,22944.0,23016.0,23514.0,24039.0,24409.0,25112.0,26078.0,26930.0,27689.77148,28072.43945,28101.22852,28780.75977,29621.68164,30413.15625,31173.04883,32376.33008,33608.29688,34796.25781,35272.22266,35823.58594,36063.12109,36957.11328,37642.76172,38866.84766,40305.27344,40964.79297,39463.65625,40288.34766,41446.0,41565.0,41375.0,41338.0,41294.0,41445.0,42177.37109,42988.07031
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,7068.0,,,,,,,7165.0,7490.0,7831.0,8010.0,8360.0,8558.0,8663.0,8995.0,9328.0,8421.0,7394.0,7319.136719,5638.998047,4315.356934,3453.36377,2999.319092,3074.219727,3347.612549,3550.364014,3959.781494,4214.888672,4498.794434,4880.399902,5408.522949,5971.474609,7553.626465,10160.3457,12699.49805,14072.62695,15384.29297,16153.83691,16176.0,16359.0,17133.0,17439.0,17460.0,16645.0,16522.30664,16628.05469
Bahrain,3483.0,3614.0,3747.0,3883.0,4014.0,4141.0,4262.0,4366.0,4457.0,4532.0,4594.0,4672.0,4772.0,4898.0,5058.0,5233.0,5423.0,5611.0,5812.0,6038.0,6349.0,6692.0,6975.0,7291.0,6252.0,6875.0,7084.0,7037.0,6730.0,6994.0,6875.0,7036.0,7240.0,7264.0,6972.0,6880.0,6786.0,6802.0,6751.0,6542.0,7059.957031,7993.892578,9102.066406,9935.003906,10695.39258,11640.82129,12528.38965,13776.00781,15263.75781,17021.72266,18152.96289,19487.8418,21391.61133,23389.60156,25230.90039,26840.125,28884.69727,30612.49805,31729.56641,34057.71484,36372.0,36949.0,38493.0,39799.0,40483.0,41078.0,40695.71484,39498.76563
