name,2000,2005,2010,2015,2020
Albania,59414463,99532328,273158411,204819530,
Angola,,,,676784368,
Antigua and Barbuda,12559618,14674920,17834597,19630442,
Argentina,1607254647,1412120405,2828722872,2993443797,2043326191
Armenia,,77177783,113847516,125748083,
Australia,5305432702,8792884505,12650682381,13798542153,
"Bahrain, Kingdom of",89985069,,253910870,347378829,
Bangladesh,124462821,384722355,502066349,,
Barbados,61016683,89948873,71812472,,
Belize,,13994488,20684706,35239307,
Benin,,69944821,130869267,135691587,
"Bolivia, Plurinational State of",78597277,87896238,156283487,339913842,
Botswana,103431399,133272246,245778876,234247737,524733189
Brazil,2584091629,3658983000,8283388000,7549456155,
Brunei Darussalam,62841983,60297940,125543174,135976796,
Bulgaria,165996720,,,,
Burkina Faso,,26575713,50170459,63219175,
Burundi,,9489655,13196522,16586732,
Cabo Verde,,11052411,24743024,13983296,
Cambodia,,205657659,145702039,,
Cameroon,,50278099,110178014,,
Canada,15253179415,19346935255,23262803617,23251174489,
Central African Republic,,2971751,6631935,108083474,
Chad,,15107106,72466940,105206896,
Chile,766469311,1155150204,1835294449,2326374169,
China,,49968472728,90763777674,98763734824,
Chinese Taipei,10784311285,13014553082,13756631400,12782475100,18014264000
Colombia,571743950,1052347913,2175987385,2579170329,2242260738
Comoros,,,,2919956,
Costa Rica,233320125,398383671,542617403,818253431,
Croatia,,,1094052822,,
Cuba,179039533,458465750,261936334,430390803,189519894
Cyprus,238918093,,,,
Czech Republic,1527587593,,,,
C�te d'Ivoire,,610936460,126334061,256883316,
Dominica,4526783,6152612,9735933,,
Dominican Republic,182353246,228503239,393735835,529056024,
Ecuador,127821139,529225844,797657775,890744327,
Egypt,403996657,388751011,1173835653,1498344365,
El Salvador,186224461,209680654,245039880,365061831,357759247
Estonia,173451734,,,,
Eswatini,,60335528,56778970,34111719,
European Union,61439175198,93741498207,113314000000,120286000000,127261000000
Fiji,,54075690,61868953,66476492,
Gabon,,71006428,134300004,135959958,
Georgia,,184648000,181262924,309616020,
Ghana,,,223422362,,
Grenada,13356248,,,,
Guatemala,160939755,334840139,440375408,,
Guinea,,10296496,18833279,,
Guinea-Bissau,,762162,,,
Guyana,,,37007655,39323065,
Haiti,,,191008439,,
Honduras,96272414,134013472,29718525,,
"Hong Kong, China",27927513180,34415164534,43522610063,40507310457,39055992549
Hungary,2047917041,,,,
Iceland,177077112,284613600,191643840,,
India,1614469956,4346144018,8285632531,10911950567,11256106385
Indonesia,702655390,827601704,2967319127,3884201401,
Israel,1913730000,2055210000,2511501000,3123797000,4161517000
Jamaica,83147337,,123845408,141026146,
Japan,25648374678,35551673870,39568106402,38299436921,
Jordan,115008433,287779348,383917521,451307501,
Kazakhstan,,,,1430442568,
Kenya,101046397,129742933,273402694,,
"Korea, Republic of",9711009300,17115037519,20420291531,22903906653,27641201756
"Kuwait, the State of",,738051904,,1599748538,
Kyrgyz Republic,21881023,34258017,61746586,134210465,
Lao People's Democratic Republic,,,,96850532,
Latvia,202552726,,,,
Lesotho,,,,33792672,
"Macao, China",73099477,263953213,863024417,1667393541,1535520084
Madagascar,27152477,39022052,71637715,65709967,
Malawi,24749198,,42094800,69077017,
Malaysia,3936640084,,6768670902,7444641129,8034614855
Maldives,18274146,31782643,34941048,67271800,111725535
Mali,13785757,19802422,98733659,90018844,
Malta,155914419,,,,
Mauritania,,,13784776,,
Mauritius,83119401,96197805,145220119,149929467,149136668
Mexico,7990280316,11435643032,15801970076,21198068236,21826775001
"Moldova, Republic of",,98842000,116996000,139756600,204133109
Mongolia,33042178,33813888,138062048,290042820,316580626
Montenegro,,,,116188110,
Morocco,358637407,673629256,1503687814,,
Mozambique,52399716,131054305,214564951,418318485,
Myanmar,70678638,27607855,61905004,279226041,421453195
Namibia,,97452101,208863556,240033805,
Nepal,,,103984288,162280320,
New Zealand,840583930,1643608257,1904165754,2201795396,
Nicaragua,56534366,93514681,117316700,200942999,147244060
Niger,,25429740,113715496,120334140,
Nigeria,,,1324573142,,
North Macedonia,,162394514,291912375,291479225,
Norway,2093946442,3727372311,5776836505,5616425586,
Oman,,221091108,,,
Pakistan,,549093628,790951655,1185693726,
Panama,127184208,144688881,287749594,419774836,
Papua New Guinea,21190054,53064115,,,
Paraguay,174878341,309491074,929598534,516620469,
Peru,309386192,490669837,1064742899,1544501199,
Philippines,1003375100,1236258958,1171692324,1790850857,3377212189
Poland,2029111152,,,,
Qatar,,556809428,1191314337,1652378990,1391937429
Rwanda,,16045046,,80327982,104983295
Saint Kitts and Nevis,6440687,,11711584,,
Saint Lucia,15663040,22976951,,,
Saint Vincent and the Grenadines,5905999,,10466234,,
Samoa,,,,11845005,10165403
"Saudi Arabia, Kingdom of",,2509420669,4142412000,6970117593,6250621001
Senegal,,80239396,69293506,105772927,237629844
Serbia,,,676042236,,
Seychelles,,,,33529675,
Sierra Leone,,,52203560,54376963,
Singapore,8875668576,11246457433,13170226009,15245367808,
Slovak Republic,494610896,,,,
South Africa,1641263727,2893654938,3851037758,3781811411,
Sri Lanka,196720798,239525569,262824337,452377952,
Suriname,,,52922924,57657356,
Switzerland,6682980326,12133346986,17196084390,18231670555,17337463843
Tanzania,41530508,67444687,131055516,,
Thailand,2291349685,5130411100,8324661744,10145798192,
Togo,3965939,5341004,21861810,20550894,68509930
Tonga,,,4040428,5620660,
Trinidad and Tobago,84694471,143786734,148549861,,
Tunisia,265338077,385146842,626097534,622813718,
Turkey,2327200357,4067167086,5563319896,7506423188,5940180366
Uganda,35486869,79965251,125499746,145985834,
Ukraine,,,1334840073,888938409,2151880457
United Arab Emirates,,2679912639,4297770478,,
United States of America,90957080632,113700000000,126347000000,159854000000,175550000000
Uruguay,188856343,160475198,252451310,324190323,384312687
"Venezuela, Bolivarian Republic of",722913973,1197758753,2060984931,1402404939,
Zambia,,59553241,105553161,157404744,
Zimbabwe,121530429,,151320266,173877472,
