Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,54208.00,55434.00,56234.00,56699.00,57029.00,57357.00,57702.00,58044.00,58377.00,58734.00,59070.00,59442.00,59849.00,60236.00,60527.00,60653.00,60586.00,60366.00,60102.00,59972.00,60097.00,60561.00,61341.00,62213.00,62826.00,63024.00,62645.00,61838.00,61072.00,61033.00,62152.00,64623.00,68240.00,72495.00,76705.00,80324.00,83211.00,85450.00,87280.00,89009.00,90866.00,92892.00,94992.00,97016.00,98744.00,100028.00,100830.00,101226.00,101362.00,101452.00,101665.00,102050.00,102565.00,103165.00,103776.00,104339.00,104865.00,105361.00,105846.00,106310.00,106766.00
Africa Eastern and Southern,130836765.00,134159786.00,137614644.00,141202036.00,144920186.00,148769974.00,152752671.00,156876454.00,161156430.00,165611760.00,170257189.00,175100167.00,180141148.00,185376550.00,190800796.00,196409937.00,202205766.00,208193045.00,214368393.00,220740384.00,227305945.00,234058404.00,240999134.00,248146290.00,255530063.00,263161451.00,271050065.00,279184536.00,287524258.00,296024639.00,304648010.00,313394693.00,322270073.00,331265579.00,340379934.00,349605660.00,358953595.00,368440591.00,378098393.00,387977990.00,398113044.00,408522129.00,419223717.00,430246635.00,441630149.00,453404076.00,465581372.00,478166911.00,491173160.00,504604672.00,518468229.00,532760424.00,547482863.00,562601578.00,578075373.00,593871847.00,609978946.00,626392880.00,643090131.00,660046272.00,677243299.00
Afghanistan,8996967.00,9169406.00,9351442.00,9543200.00,9744772.00,9956318.00,10174840.00,10399936.00,10637064.00,10893772.00,11173654.00,11475450.00,11791222.00,12108963.00,12412960.00,12689164.00,12943093.00,13171294.00,13341199.00,13411060.00,13356500.00,13171679.00,12882518.00,12537732.00,12204306.00,11938204.00,11736177.00,11604538.00,11618008.00,11868873.00,12412311.00,13299016.00,14485543.00,15816601.00,17075728.00,18110662.00,18853444.00,19357126.00,19737770.00,20170847.00,20779957.00,21606992.00,22600774.00,23680871.00,24726689.00,25654274.00,26433058.00,27100542.00,27722281.00,28394806.00,29185511.00,30117411.00,31161378.00,32269592.00,33370804.00,34413603.00,35383028.00,36296111.00,37171922.00,38041757.00,38928341.00
Africa Western and Central,96396419.00,98407221.00,100506960.00,102691339.00,104953470.00,107289875.00,109701811.00,112195950.00,114781116.00,117468741.00,120269044.00,123184308.00,126218502.00,129384954.00,132699537.00,136173544.00,139813171.00,143615715.00,147571063.00,151663853.00,155882270.00,160223588.00,164689764.00,169279422.00,173991851.00,178826553.00,183785612.00,188868567.00,194070079.00,199382783.00,204803865.00,210332267.00,215976366.00,221754806.00,227692136.00,233807627.00,240114179.00,246613750.00,253302310.00,260170348.00,267214544.00,274433894.00,281842480.00,289469530.00,297353098.00,305520588.00,313985474.00,322741656.00,331772330.00,341050537.00,350556886.00,360285439.00,370243017.00,380437896.00,390882979.00,401586651.00,412551299.00,423769930.00,435229381.00,446911598.00,458803476.00
Angola,5454938.00,5531451.00,5608499.00,5679409.00,5734995.00,5770573.00,5781305.00,5774440.00,5771973.00,5803677.00,5890360.00,6041239.00,6248965.00,6497283.00,6761623.00,7023994.00,7279630.00,7533814.00,7790774.00,8058112.00,8341290.00,8640478.00,8952971.00,9278104.00,9614756.00,9961993.00,10320116.00,10689247.00,11068051.00,11454784.00,11848385.00,12248901.00,12657361.00,13075044.00,13503753.00,13945205.00,14400722.00,14871572.00,15359600.00,15866871.00,16395477.00,16945753.00,17519418.00,18121477.00,18758138.00,19433604.00,20149905.00,20905360.00,21695636.00,22514275.00,23356247.00,24220660.00,25107925.00,26015786.00,26941773.00,27884380.00,28842482.00,29816769.00,30809787.00,31825299.00,32866268.00
Albania,1608800.00,1659800.00,1711319.00,1762621.00,1814135.00,1864791.00,1914573.00,1965598.00,2022272.00,2081695.00,2135479.00,2187853.00,2243126.00,2296752.00,2350124.00,2404831.00,2458526.00,2513546.00,2566266.00,2617832.00,2671997.00,2726056.00,2784278.00,2843960.00,2904429.00,2964762.00,3022635.00,3083605.00,3142336.00,3227943.00,3286542.00,3266790.00,3247039.00,3227287.00,3207536.00,3187784.00,3168033.00,3148281.00,3128530.00,3108778.00,3089027.00,3060173.00,3051010.00,3039616.00,3026939.00,3011487.00,2992547.00,2970017.00,2947314.00,2927519.00,2913021.00,2905195.00,2900401.00,2895092.00,2889104.00,2880703.00,2876101.00,2873457.00,2866376.00,2854191.00,2837849.00
Andorra,13410.00,14378.00,15379.00,16407.00,17466.00,18542.00,19646.00,20760.00,21886.00,23053.00,24275.00,25571.00,26885.00,28232.00,29515.00,30705.00,31782.00,32769.00,33744.00,34825.00,36063.00,37498.00,39115.00,40854.00,42706.00,44593.00,46520.00,48459.00,50433.00,52452.00,54508.00,56666.00,58882.00,60974.00,62676.00,63860.00,64363.00,64318.00,64140.00,64368.00,65390.00,67344.00,70048.00,73180.00,76250.00,78871.00,80995.00,82682.00,83860.00,84461.00,84454.00,83748.00,82427.00,80770.00,79213.00,77993.00,77295.00,76997.00,77008.00,77146.00,77265.00
Arab World,92197715.00,94724540.00,97334438.00,100034191.00,102832792.00,105736428.00,108758634.00,111899335.00,115136161.00,118437193.00,121785630.00,125164720.00,128598743.00,132161302.00,135952270.00,140040580.00,144453278.00,149161836.00,154111160.00,159218539.00,164420771.00,169698978.00,175061794.00,180505967.00,186035280.00,191650328.00,197338140.00,203084958.00,208889669.00,214753965.00,222653371.00,228731671.00,232956364.00,239243294.00,245449429.00,253107302.00,259000937.00,264822167.00,270575777.00,276393809.00,282344141.00,288432153.00,294665202.00,301113869.00,307862846.00,314965776.00,322452764.00,330290752.00,338395936.00,346629179.00,354890097.00,363156846.00,371437642.00,379696477.00,387899835.00,396028301.00,404042892.00,411942825.00,419851989.00,427870273.00,436080728.00
United Arab Emirates,92417.00,100801.00,112112.00,125130.00,138049.00,149855.00,159979.00,169768.00,182620.00,203103.00,234512.00,277463.00,330968.00,394625.00,467457.00,548295.00,637926.00,735347.00,835498.00,931752.00,1019507.00,1096602.00,1164816.00,1228457.00,1293970.00,1366165.00,1446386.00,1533526.00,1627068.00,1725676.00,1828437.00,1937159.00,2052892.00,2173135.00,2294377.00,2415099.00,2539121.00,2671361.00,2813214.00,2966029.00,3134067.00,3302722.00,3478769.00,3711931.00,4068577.00,4588222.00,5300172.00,6168846.00,7089486.00,7917368.00,8549998.00,8946778.00,9141598.00,9197908.00,9214182.00,9262896.00,9360975.00,9487206.00,9630966.00,9770526.00,9890400.00
Argentina,20481781.00,20817270.00,21153042.00,21488916.00,21824427.00,22159644.00,22494031.00,22828872.00,23168268.00,23517613.00,23880564.00,24259564.00,24653172.00,25056475.00,25462305.00,25865775.00,26264681.00,26661397.00,27061041.00,27471046.00,27896532.00,28338514.00,28794550.00,29262049.00,29737097.00,30216284.00,30698964.00,31184411.00,31668939.00,32148137.00,32618648.00,33079002.00,33529320.00,33970103.00,34402669.00,34828168.00,35246376.00,35657438.00,36063451.00,36467218.00,36870796.00,37275644.00,37681743.00,38087866.00,38491970.00,38892924.00,39289876.00,39684303.00,40080159.00,40482786.00,40788453.00,41261490.00,41733271.00,42202935.00,42669500.00,43131966.00,43590368.00,44044811.00,44494502.00,44938712.00,45376763.00
